STATE,PCTGRAD,REGION,
ALABAMA,89.3,S,
ALASKA,78.2,W,
ARIZONA,78.0,W,
ARKANSAS,88.0,S,
CALIFORNIA,82.7,W,
COLORADO,79.1,W,
CONNECTICUT,87.9,NE,
DELAWARE,86.9,S,
DC,73.2,S,
FLORIDA,82.3,S,
GEORGIA,80.6,S,
HAWAII,82.7,W,
IDAHO,79.7,W,
ILLINOIS,87.0,MW,
INDIANA,83.8,MW,
IOWA,91.0,MW,
KANSAS,86.5,MW,
KENTUCKY,89.7,S,
LOUISIANA,78.1,S,
MAINE,86.9,NE,
MARYLAND,87.7,S,
MASSACHUSETTS,88.3,NE,
MICHIGAN,80.2,MW,
MINNESOTA,82.7,MW,
MISSISSIPPI,83.0,S,
MISSOURI,88.3,MW,
MONTANA,85.8,W,
NEBRASKA,89.1,MW,
NEVADA,80.9,W,
NEW_HAMPSHIRE,88.9,NE,
NEW_JERSEY,90.5,NE,
NEW_MEXICO,71.1,W,
NEW_YORK,81.8,NE,
NORTH_CAROLINA,86.6,S,
NORTH_DAKOTA,87.2,MW,
OHIO,84.2,MW,
OKLAHOMA,82.6,S,
OREGON,76.7,W,
PENNSYLVANIA,86.6,NE,
RHODE_ISLAND,84.1,NE,
SOUTH_CAROLINA,83.6,S,
SOUTH_DAKOTA,83.7,MW,
TENNESSEE,89.8,S,
TEXAS,89.7,S,
UTAH,86.0,W,
VERMONT,89.1,NE,
VIRGINIA,86.9,S,
WASHINGTON,79.4,W,
WEST_VIRGINIA,89.4,S,
WISCONSIN,88.6,MW,
WYOMING,86.2,W,
