Country Name,rate,Income
Aruba,,High
Afghanistan,67.9,High
Angola,81.1,Low
Albania,8.8,Upper-middle
Andorra,3.3,Upper-middle
United Arab Emirates,9.1,High
Argentina,10.4,Lower-middle
Armenia,12.6,Upper-middle
American Samoa,,High
Antigua and Barbuda,7.4,High
Australia,3.5,High
Austria,3.6,Upper-middle
Azerbaijan,23,Low
Burundi,61.2,High
Belgium,3.8,Low
Benin,98.3,Low
Burkina Faso,81.2,Lower-middle
Bangladesh,32.4,Upper-middle
Bulgaria,7.5,High
Bahrain,7.3,High
"Bahamas, The",7.2,Upper-middle
Bosnia and Herzegovina,5.7,Upper-middle
Belarus,3.7,Upper-middle
Belize,14.2,High
Bermuda,,Lower-middle
Bolivia,34.9,Upper-middle
Brazil,14.8,High
Barbados,12.4,High
Brunei Darussalam,10.5,Lower-middle
Bhutan,30.8,Upper-middle
Botswana,37.6,Low
Central African Republic,121.5,High
Canada,5.1,High
Switzerland,4.2,High
Channel Islands,,Upper-middle
Chile,7.4,Lower-middle
China,9.3,Lower-middle
Cote d'Ivoire,88.8,Lower-middle
Cameroon,84,Upper-middle
"Congo, Dem. Rep.",91.1,Low
"Congo, Rep.",47.5,Lower-middle
Colombia,14.7,Upper-middle
Comoros,69,Upper-middle
Cabo Verde,17.4,High
Costa Rica,9,High
Cuba,5.4,High
Curacao,,High
Cayman Islands,,Lower-middle
Cyprus,2.7,Upper-middle
Czech Republic,3.3,High
Germany,3.7,Upper-middle
Djibouti,61.7,Upper-middle
Dominica,34,Upper-middle
Denmark,4.3,Lower-middle
Dominican Republic,29.9,Low
Algeria,24,High
Ecuador,14.5,High
"Egypt, Arab Rep.",22.1,Lower-middle
Eritrea,43.1,High
Spain,3.1,Lower-middle
Estonia,2.7,Lower-middle
Ethiopia,58.5,Low
Finland,2.3,High
Fiji,25.3,High
France,4.2,Upper-middle
Faroe Islands,,High
"Micronesia, Fed. Sts.",32.2,Lower-middle
Gabon,48.3,High
United Kingdom,4.3,Lower-middle
Georgia,10.8,High
Ghana,49.3,Lower-middle
Gibraltar,,High
Guinea,85.7,Low
"Gambia, The",63.6,High
Guinea-Bissau,84.2,Lower-middle
Equatorial Guinea,89.6,High
Greece,5.3,Lower-middle
Grenada,16.7,Upper-middle
Greenland,,Upper-middle
Guatemala,27.6,High
Guam,,High
Guyana,31.3,High
Honduras,18.2,High
Croatia,4.6,Lower-middle
Haiti,71.7,Lower-middle
Hungary,4.5,Low
Indonesia,25.4,High
Isle of Man,,Upper-middle
India,39.4,Low
Ireland,3.5,Upper-middle
"Iran, Islamic Rep.",14.9,High
Iraq,30.4,Lower-middle
Iceland,2.1,Lower-middle
Israel,3.6,High
Italy,3.4,High
Jamaica,15.2,High
Jordan,17,High
Japan,2.6,High
Kazakhstan,10,Lower-middle
Kenya,45.6,High
Kyrgyz Republic,20,Lower-middle
Cambodia,29.2,Low
Kiribati,54.6,Upper-middle
St. Kitts and Nevis,13.7,Upper-middle
"Korea, Rep.",3.3,Upper-middle
Kuwait,8.1,Upper-middle
Lao PDR,63.4,High
Lebanon,7.8,Lower-middle
Liberia,74.7,Upper-middle
