Country,CO2 emissions
Aruba,8.410064178
Afghanistan,0.293946407
Angola,1.290306776
Albania,1.978763312
Andorra,5.832906215
United Arab Emirates,22.93960631
Argentina,4.781507775
Armenia,1.898719374
Antigua and Barbuda,5.744419956
Australia,15.38876602
Austria,6.86986793
Azerbaijan,3.931560609
Burundi,0.044699992
Belgium,8.328159898
Benin,0.61420609
Burkina Faso,0.162018438
Bangladesh,0.47365761
Bulgaria,5.871615869
Bahrain,23.45540632
"Bahamas, The",6.520069719
Bosnia and Herzegovina,6.384938819
Belarus,6.701957705
Belize,1.400941234
Bermuda,8.838314988
Bolivia,1.90636432
Brazil,2.612933521
Barbados,4.467476521
Brunei Darussalam,22.2291779
Bhutan,1.392229534
Botswana,3.367451334
Central African Republic,0.067357126
Canada,15.15892722
Switzerland,4.311562994
Chile,4.6490622
China,7.543907641
Cote d'Ivoire,0.487688034
Cameroon,0.308791722
"Congo, Dem. Rep.",0.063330889
"Congo, Rep.",0.653359719
Colombia,1.790356827
Comoros,0.202812784
Cabo Verde,0.948113817
Costa Rica,1.618087849
Cuba,3.080994246
Curacao,37.72628905
Cayman Islands,8.91920852
Cyprus,5.260461605
Czech Republic,9.165978376
Germany,8.889370395
Djibouti,0.803830216
Dominica,1.908686783
Denmark,5.935712482
Dominican Republic,2.11899467
Algeria,3.735520147
Ecuador,2.753266363
"Egypt, Arab Rep.",2.232732005
Spain,5.033824487
Estonia,14.84881917
Ethiopia,0.118240576
Finland,8.660721243
Fiji,1.350070921
France,4.573181595
Faroe Islands,12.46290659
"Micronesia, Fed. Sts.",1.399279638
Gabon,2.756381782
United Kingdom,6.49744049
Georgia,2.416460496
Ghana,0.531371738
Gibraltar,15.65746479
Guinea,0.219671873
"Gambia, The",0.253640982
Guinea-Bissau,0.160335469
Equatorial Guinea,4.763967152
Greece,6.180337268
Grenada,2.222383427
Greenland,8.989181988
Guatemala,1.151000836
Guyana,2.632392779
Honduras,1.057648023
Croatia,3.973804906
Haiti,0.271140187
Hungary,4.265574976
Indonesia,1.81937838
India,1.727670507
Ireland,7.313939808
"Iran, Islamic Rep.",8.384101101
Iraq,4.89491703
Iceland,6.059657407
Israel,7.863181348
Italy,5.270866786
Jamaica,2.581445886
Jordan,2.965238308
Japan,9.538706103
Kazakhstan,14.36316974
Kenya,0.305923722
Kyrgyz Republic,1.646395339
Cambodia,0.437653585
Kiribati,0.569873207
St. Kitts and Nevis,4.549986213
"Korea, Rep.",11.57034541
Kuwait,25.84922928
Lao PDR,0.294364883
Lebanon,3.843598231
Liberia,0.214493389
Libya,8.95879433
St. Lucia,2.282928389
Liechtenstein,1.182172313
Sri Lanka,0.885247473
Lesotho,1.207715726
Lithuania,4.378090123
Luxembourg,17.36212137
Latvia,3.498192882
Morocco,1.750794556
Moldova,1.386829142
Madagascar,0.130420845
Maldives,3.068372355
Mexico,3.990446149
Marshall Islands,1.795694223
North Macedonia,3.614451035
Mali,0.083369355
Malta,5.400613957
Myanmar,0.41375859
Montenegro,3.55607179
Mongolia,7.088025678
Mozambique,0.320578017
Mauritania,0.689388119
Mauritius,3.353110472
Malawi,0.078339597
Malaysia,8.130210313
Namibia,1.651692817
New Caledonia,16.00593173
Niger,0.110542757
Nigeria,0.545794085
Nicaragua,0.791576323
Netherlands,9.920138075
Norway,9.270945132
Nepal,0.298463303
Nauru,4.021851008
New Zealand,7.686575825
Oman,15.18879511
Pakistan,0.851472804
Panama,2.255854757
Peru,2.051984358
Philippines,1.05114223
Palau,14.77119029
Papua New Guinea,0.795074226
Poland,7.517151585
"Korea, Dem. People's Rep.",1.617371103
Portugal,4.331554028
Paraguay,0.864029477
French Polynesia,2.955679873
Qatar,43.85730795
Romania,3.516153691
Russian Federation,11.85752777
Rwanda,0.075764224
South Asia,1.456572745
Saudi Arabia,19.44066648
Sudan,0.299732598
Senegal,0.624760004
Singapore,10.30633191
Solomon Islands,0.343539796
Sierra Leone,0.186560088
El Salvador,0.998428944
Somalia,0.045347231
Serbia,5.282521917
South Sudan,0.141748232
Sao Tome and Principe,0.580793656
Suriname,3.598912291
Slovak Republic,5.661581328
Slovenia,6.213686845
Sweden,4.478182178
Eswatini,1.098404505
Sint Maarten (Dutch part),19.46132413
Seychelles,5.418677963
Syrian Arab Republic,1.640539063
Turks and Caicos Islands,5.805988295
Chad,0.053407242
Togo,0.36731663
Thailand,4.620377146
Tajikistan,0.628730158
Turkmenistan,12.51709612
Timor-Leste,0.399696508
Tonga,1.19779665
Trinidad and Tobago,33.96641445
Tunisia,2.605932406
Turkey,4.479773496
Tuvalu,1.002643092
Tanzania,0.231426985
Uganda,0.141664527
Ukraine,5.020747064
Uruguay,1.984240835
United States,16.50283724
Uzbekistan,3.420722746
St. Vincent and the Grenadines,1.920054014
"Venezuela, RB",6.164731034
British Virgin Islands,6.198316603
Vietnam,1.819893977
Vanuatu,0.583633966
Samoa,1.030157995
"Yemen, Rep.",0.878995612
South Africa,8.979062348
Zambia,0.292412222
Zimbabwe,0.884721294
