State,PctMinority
Alabama,39
Alaska,39.7
Arizona,51.1
Arkansas,31
California,66.6
Colorado,34.7
Connecticut,38.9
Delaware,22.7
DistColumbia,53.4
Florida,51.7
Georgia,50.7
Hawaii,75
Idaho,20.2
Illinois,42.3
Indiana,22.6
Iowa,15.6
Kansas,26.8
Kentucky,16.9
Louisiana,44.5
Maine,7.8
Maryland,51.7
Massachusetts,31.4
Michigan,27.8
Minnesota,22.5
Mississippi,47.8
Missouri,22.8
Montana,15.4
Nebraska,22.5
Nevada,53.9
NewHampshire,10.8
NewJersey,50.7
NewMexico,67.3
NewYork,48.3
NorthCarolina,40.9
NorthDakota,14.7
Ohio,22.6
Oklahoma,37
Oregon,27.2
Pennsylvania,26.3
RhodeIsland,31.3
SouthCarolina,41.3
SouthDakota,19.4
Tennessee,29.8
Texas,60.9
Utah,21.7
Vermont,8.2
Virginia,40.7
Washington,33.9
WestVirginia,9.3
Wisconsin,21.8
Wyoming,17.6
