Year,Return
1971,17.68
1972,17.98
1973,-18.52
1974,-28.39
1975,38.47
1976,26.59
1977,-2.64
1978,9.27
1979,25.56
1980,33.67
1981,-3.75
1982,18.71
1983,23.47
1984,3.05
1985,32.56
1986,16.09
1987,2.27
1988,17.94
1989,29.17
1990,-6.18
1991,34.2
1992,8.97
1993,11.28
1994,-0.06
1995,36.45
1996,21.21
1997,31.29
1998,23.43
1999,23.56
2000,-10.89
2001,-10.97
2002,-20.86
2003,31.64
2004,12.62
2005,6.32
2006,15.88
2007,5.73
2008,-37.34
2009,29.42
2010,17.87
2011,0.59
2012,16.12
2013,34.02
2014,12.07
2015,-0.24
2016,13.04
2017,21
2018,-5.29
