Player,Salary
Carey Price,15000000
Shea Weber,6000000
Jonathan Drouin,5500000
Tomas Tatar,4981132
Karl Alzner,4625000
Paul Byron,4000000
Jeff Petry,4000000
Brendan Gallagher,4000000
Andrew Shaw,3250000
Max Domi,3150000
Phillip Danault,3000000
Brett Kulak,1950000
Dale Weise,1750000
Jordan Weal,1300000
Matthew Peca,1300000
Nate Thompson,1000000
Nicolas Deslauriers,950000
Jesperi Kotkaniemi,925000
Ryan Poehling,925000
Noah Juulsen,832500
Christian Folin,800000
Victor Mete,760000
Charlie Lindgren,750000
