Year,Rain
1901,722.4
1902,792.2
1903,861.3
1904,750.6
1905,716.8
1906,885.5
1907,777.9
1908,897.5
1909,889.6
1910,935.4
1911,736.8
1912,806.4
1913,784.8
1914,898.5
1915,781
1916,951.1
1917,1004.7
1918,651.2
1919,885
1920,719.4
1921,866.2
1922,869.4
1923,823.5
1924,863
1925,804
1926,903.1
1927,853.5
1928,768.2
1929,821.5
1930,804.9
1931,877.6
1932,803.8
1933,976.2
1934,913.8
1935,843.9
1936,908.7
1937,842.4
1938,908.6
1939,789.9
1940,853.6
1941,728.7
1942,958.1
1943,868.6
1944,920.8
1945,911.3
1946,904
1947,945.9
1948,874.3
1949,904.2
1950,877.3
1951,739.2
1952,793.3
1953,923.4
1954,885.8
1955,930.5
1956,983.6
1957,789
1958,889.6
1959,944.3
1960,839.9
1961,1020.5
1962,810
1963,858.1
1964,922.8
1965,709.6
1966,740.2
1967,860.3
1968,754.8
1969,831.3
1970,940
1971,887
1972,653.1
1973,913.6
1974,748.3
1975,963
1976,857
1977,883.4
1978,909.5
1979,708
1980,882.9
1981,852.4
1982,735.6
1983,955.9
1984,836.9
1985,760
1986,743.2
1987,697.4
1988,961.7
1989,866.9
1990,908.8
1991,784.7
1992,785
1993,896.6
1994,938.4
1995,826.4
1996,857.3
1997,870.5
1998,873.8
1999,827
2000,770.2
