State,MathSAT2018,AvgTeacherSalaries2017-18,PctTaking
Alabama,571,"50,239",N
Alaska,544,"69,474",Y
Arizona,572,"47,746",N
Arkansas,576,"49,017",N
California,536,"81,126",Y
Colorado,506,"52,389",Y
Connecticut,519,"73,113",Y
Delaware,492,"60,484",Y
DistColumbia,480,"76,486",Y
Florida,493,"47,721",Y
Georgia,511,"56,329",Y
Hawaii,549,"57,866",Y
Idaho,493,"49,225",Y
Illinois,506,"65,776",Y
Indiana,539,"54,846",Y
Iowa,631,"56,790",N
Kansas,631,"50,403",N
Kentucky,618,"52,952",N
Louisiana,595,"50,256",N
Maine,501,"51,663",Y
Maryland,535,"69,761",Y
Massachusetts,563,"79,710",Y
Michigan,499,"62,702",Y
Minnesota,655,"57,782",N
Mississippi,606,"43,107",N
Missouri,629,"49,208",N
Montana,592,"52,776",N
Nebraska,623,"53,473",N
Nevada,566,"57,812",N
NewHampshire,528,"57,833",Y
NewJersey,547,"69,917",Y
NewMexico,540,"47,839",N
NewYork,534,"83,585",Y
NorthCarolina,543,"50,861",Y
NorthDakota,643,"54,421",N
Ohio,547,"58,000",N
Oklahoma,521,"45,678",N
Oregon,553,"63,143",Y
Pennsylvania,539,"67,398",Y
RhodeIsland,505,"66,758",Y
SouthCarolina,523,"51,027",Y
SouthDakota,618,"47,944",N
Tennessee,607,"50,900",N
Texas,512,"53,167",Y
Utah,612,"47,604",N
Vermont,554,"58,527",Y
Virginia,550,"51,265",Y
Washington,538,"55,175",Y
WestVirginia,486,"45,642",N
Wisconsin,653,"55,895",N
Wyoming,625,"58,578",N
