Year,Time,Sex
1908,10518.4,M
1909,9751,M
1913,9366.6,M
1920,9155.8,M
1925,8941.8,M
1935,8802,M
1947,8739,M
1952,8442.2,M
1953,8314.8,M
1954,8259.4,M
1958,8117,M
1960,8116.2,M
1963,8068,M
1964,7931.2,M
1965,7920,M
1967,7776.4,M
1969,7713.6,M
1981,7698,M
1984,7685,M
1985,7632,M
1988,7610,M
1998,7565,M
1999,7542,M
2002,7538,M
2003,7495,M
2007,7466,M
2008,7439,M
2011,7418,M
2013,7403,M
2014,7377,M
2018,7299,M
1926,13222,F
1964,11973,F
1967,11246,F
1970,10973,F
1971,9990,F
1974,9834.5,F
1975,9499,F
1977,9287.5,F
1980,9027,F
1981,8806,F
1982,8771,F
1983,8563,F
1985,8466,F
1998,8447,F
1999,8443,F
2001,8386,F
2001,8327,F
2002,8238,F
2003,8125,F
2019,8044,F
,,
,,
,,
,,
