Team,Spending,Points
Anaheim Ducks,66.3,80
Arizona Coyotes,51.2,86
Boston Bruins,64.9,107
Buffalo Sabres,64.5,76
Calgary Flames,75.3,107
Carolina Hurricanes,55.0,99
Chicago Blackhawks,74.2,84
Colorado Avalanche,64.5,90
Columbus Blue Jackets,69.4,98
Dallas Stars,71.2,93
Detroit Red Wings,56.4,74
Edmonton Oilers,73.9,79
Florida Panthers,64.2,86
Los Angeles Kings,71.7,71
Minnesota Wild,55.0,83
Montreal Canadiens,64.8,96
Nashville Predators,76.5,100
New Jersey Devils,44.9,72
New York Islanders,71.6,103
New York Rangers,58.5,78
Ottawa Senators,38.3,64
Philadelphia Flyers,59.3,82
Pittsburgh Penguins,72.0,100
San Jose Sharks,84.0,101
St Louis Blues,83.2,99
Tampa Bay Lightning,79.1,128
Toronto Maple Leafs,69.0,100
Vancouver Canucks,60.0,81
Vegas Golden Knights,61.7,93
Washington Capitals,90.3,104
Winnipeg Jets,74.9,99
