Country,Dev,Tickets
AUSTRALIA,YES,0
AUSTRIA,YES,2.2
BAHRAIN,YES,37.7
BELGIUM,YES,2.7
CANADA,YES,0
CYPRUS,YES,2.5
CZECHREPUBLIC,YES,18.9
DENMARK,YES,0
ESTONIA,YES,10.5
FINLAND,YES,0.1
FRANCE,YES,6.1
GERMANY,YES,1
GREECE,YES,0
IRELAND,YES,0
ISRAEL,YES,0
ITALY,YES,14.6
JAPAN,YES,0
KOREASOUTH,YES,0.4
KUWAIT,YES,246.2
NETHERLANDS,YES,0
NEWZEALAND,YES,0.1
NORWAY,YES,0
PORTUGAL,YES,8.8
SAUDIARABIA,YES,33.8
SINGAPORE,YES,3.5
SLOVENIA,YES,5.2
SPAIN,YES,12.7
SWEDEN,YES,0
SWITZERLAND,YES,0.1
UNITEDARABEMIR,YES,0
UNITEDKINGDOM,YES,0
TRINIDADTOBAGO,YES,1.4
ALBANIA,NO,84.5
ALGERIA,NO,25.2
ANGOLA,NO,81.7
ARGENTINA,NO,3.9
ARMENIA,NO,10.1
AZERBAIJAN,NO,0
BANGLADESH,NO,33
BELARUS,NO,2.7
BENIN,NO,49.8
BHUTAN,NO,18.4
BOLIVIA,NO,3.1
BOTSWANA,NO,18.5
BRAZIL,NO,29.9
BULGARIA,NO,117.5
BURKINAFASO,NO,0
BURUNDI,NO,37.7
CAMEROON,NO,43.6
CENTRAFRREP,NO,0
CHAD,NO,124.3
CHILE,NO,16.5
CHINA,NO,9.5
COLOMBIA,NO,0
COMOROS,NO,9.9
CONGO(BRAZ),NO,7.7
COSTARICA,NO,10.1
CROATIA,NO,6.5
DJIBOUTI,NO,6.5
DOMINICANREP,NO,0.1
ECUADOR,NO,0
EGYPT,NO,139.6
ELSALVADOR,NO,1.7
ERITREA,NO,0.8
ETHIOPIA,NO,59.7
FIJI,NO,15.5
GABON,NO,2.2
GAMBIA,NO,1.5
GEORGIA,NO,9.7
GHANA,NO,11.3
GUATEMALA,NO,0.1
GUINEA,NO,34.8
GUINEA-BISSAU,NO,10.8
GUYANA,NO,2.3
HAITI,NO,3
HONDURAS,NO,5.4
HUNGARY,NO,3.3
INDIA,NO,6.1
INDONESIA,NO,36.1
IRAN,NO,15.7
JAMAICA,NO,0
JORDAN,NO,2.9
KAZAKHSTAN,NO,21.1
KENYA,NO,7.7
KYRGYZREPUBLIC,NO,5.2
LAOS,NO,6.1
LATVIA,NO,0
LEBANON,NO,1.3
LESOTHO,NO,18.8
LIBERIA,NO,13.5
LIBYA,NO,8.2
LITHUANIA,NO,2
MACEDONIA,NO,3.3
MADAGASCAR,NO,8.7
MALAWI,NO,13
MALAYSIA,NO,1.4
MALI,NO,37.4
MAURITANIA,NO,11.2
MAURITIUS,NO,20.5
MEXICO,NO,4
MOLDOVA,NO,0.7
MONGOLIA,NO,10.2
MOROCCO,NO,60
MOZAMBIQUE,NO,110.7
NAMIBIA,NO,4.2
NEPAL,NO,16.5
NICARAGUA,NO,4.9
NIGER,NO,19.9
NIGERIA,NO,58.6
OMAN,NO,0
PAKISTAN,NO,69.4
PANAMA,NO,0
PAPUANEWGUINEA,NO,5.5
PARAGUAY,NO,13
PERU,NO,3.1
PHILIPPINES,NO,11.5
POLAND,NO,1.7
ROMANIA,NO,3.5
RUSSIA,NO,2
RWANDA,NO,12.9
SENEGAL,NO,79.2
SERBIAMONTENE,NO,38
SIERRALEONE,NO,25.6
SLOVAKREPUBLIC,NO,6.4
SOUTHAFRICA,NO,34
SRILANKA,NO,17.2
SUDAN,NO,119.1
SWAZILAND,NO,4.3
SYRIA,NO,52.7
TAJIKISTAN,NO,4.3
TANZANIA,NO,8.3
THAILAND,NO,24.5
TOGO,NO,9.9
TUNISIA,NO,16.5
TURKEY,NO,0
TURKMENISTAN,NO,5.8
UGANDA,NO,3.5
UKRAINE,NO,12.9
URUGUAY,NO,4.4
UZBEKISTAN,NO,8.8
VENEZUELA,NO,9.1
VIETNAM,NO,9.8
YEMEN,NO,9.1
ZAMBIA,NO,60.4
ZIMBABWE,NO,45.6
