Score,Device
10,Tablet
10,Tablet
10,Tablet
10,Tablet
10,Tablet
10,Tablet
9,Tablet
9,Tablet
9,Tablet
9,Tablet
9,Tablet
9,Tablet
9,Tablet
9,Tablet
9,Tablet
9,Tablet
9,Tablet
9,Tablet
9,Tablet
9,Tablet
9,Tablet
8,Tablet
8,Tablet
8,Tablet
8,Tablet
8,Tablet
8,Tablet
8,Tablet
8,Tablet
8,Tablet
8,Tablet
8,Tablet
8,Tablet
8,Tablet
8,Tablet
8,Tablet
8,Tablet
8,Tablet
8,Tablet
8,Tablet
8,Tablet
8,Tablet
8,Tablet
8,Tablet
8,Tablet
8,Tablet
8,Tablet
8,Tablet
8,Tablet
8,Tablet
8,Tablet
8,Tablet
8,Tablet
8,Tablet
8,Tablet
8,Tablet
8,Tablet
8,Tablet
7,Tablet
7,Tablet
7,Tablet
7,Tablet
7,Tablet
7,Tablet
7,Tablet
7,Tablet
7,Tablet
7,Tablet
7,Tablet
7,Tablet
7,Tablet
7,Tablet
7,Tablet
7,Tablet
7,Tablet
7,Tablet
7,Tablet
7,Tablet
7,Tablet
6,Tablet
6,Tablet
6,Tablet
6,Tablet
6,Tablet
6,Tablet
6,Tablet
6,Tablet
6,Tablet
6,Tablet
6,Tablet
6,Tablet
6,Tablet
6,Tablet
6,Tablet
6,Tablet
6,Tablet
6,Tablet
6,Tablet
5,Tablet
5,Tablet
5,Tablet
5,Tablet
5,Tablet
5,Tablet
5,Tablet
5,Tablet
5,Tablet
5,Tablet
5,Tablet
4,Tablet
4,Tablet
4,Tablet
4,Tablet
4,Tablet
3,Tablet
3,Tablet
3,Tablet
2,Tablet
2,Tablet
10,Paper
10,Paper
10,Paper
10,Paper
10,Paper
10,Paper
10,Paper
10,Paper
10,Paper
10,Paper
10,Paper
10,Paper
9,Paper
9,Paper
9,Paper
9,Paper
9,Paper
9,Paper
9,Paper
9,Paper
9,Paper
9,Paper
9,Paper
9,Paper
9,Paper
9,Paper
9,Paper
9,Paper
9,Paper
9,Paper
9,Paper
8,Paper
8,Paper
8,Paper
8,Paper
8,Paper
8,Paper
8,Paper
8,Paper
8,Paper
8,Paper
8,Paper
8,Paper
8,Paper
8,Paper
8,Paper
8,Paper
8,Paper
8,Paper
8,Paper
8,Paper
8,Paper
8,Paper
8,Paper
8,Paper
8,Paper
7,Paper
7,Paper
7,Paper
7,Paper
7,Paper
7,Paper
7,Paper
7,Paper
7,Paper
7,Paper
7,Paper
7,Paper
7,Paper
7,Paper
7,Paper
7,Paper
7,Paper
7,Paper
7,Paper
7,Paper
7,Paper
7,Paper
6,Paper
6,Paper
6,Paper
6,Paper
6,Paper
6,Paper
6,Paper
6,Paper
6,Paper
6,Paper
6,Paper
6,Paper
6,Paper
5,Paper
5,Paper
5,Paper
5,Paper
5,Paper
5,Paper
5,Paper
5,Paper
5,Paper
5,Paper
4,Paper
4,Paper
4,Paper
4,Paper
3,Paper
3,Paper
3,Paper
3,Paper
3,Paper
3,Paper
3,Paper
