Aroc,Volume,PredictedAroc,StdErrPredAroc,ResidualAroc
0.55,59,0.632882418,0.009830429,-0.082882418
0.58,62,0.639878566,0.008405446,-0.059878566
0.59,43,0.595569629,0.021890675,-0.005569629
0.59,63,0.642210616,0.008074637,-0.052210616
0.59,83,0.688851603,0.017124044,-0.098851603
0.61,61,0.637546517,0.008815235,-0.027546517
0.62,55,0.623554221,0.012399851,-0.003554221
0.63,57,0.62821832,0.011044757,0.00178168
0.63,57,0.62821832,0.011044757,0.00178168
0.63,67,0.651538813,0.007709967,-0.021538813
0.63,72,0.66319906,0.009400151,-0.03319906
0.64,62,0.639878566,0.008405446,0.000121434
0.65,58,0.630550369,0.010416787,0.019449631
0.65,62,0.639878566,0.008405446,0.010121434
0.65,65,0.646874714,0.0076884,0.003125286
0.65,70,0.658534961,0.008484095,-0.008534961
0.65,75,0.670195208,0.011179241,-0.020195208
0.66,60,0.635214468,0.009293563,0.024785532
0.66,63,0.642210616,0.008074637,0.017789384
0.67,71,0.660867011,0.008908917,0.009132989
0.67,71,0.660867011,0.008908917,0.009132989
0.67,80,0.681855455,0.014768148,-0.011855455
0.68,68,0.653870862,0.007875104,0.026129138
0.69,72,0.66319906,0.009400151,0.02680094
0.7,66,0.649206764,0.007646895,0.050793236
0.7,73,0.665531109,0.009947962,0.034468891
0.71,61,0.637546517,0.008815235,0.072453483
0.72,80,0.681855455,0.014768148,0.038144545
0.75,75,0.670195208,0.011179241,0.079804792
