Year,Boats,Kills,Residuals
1977,447,13,0.370331234
1978,460,21,6.483971146
1979,481,24,6.436774082
1980,498,16,-4.030004494
1981,513,24,1.793426174
1982,512,20,-2.061469204
1983,526,15,-9.092933914
1984,559,34,5.118613556
1985,585,33,0.345893381
1986,614,33,-3.862140661
1987,645,39,-2.360383947
1988,675,43,-2.713522611
1989,711,50,-0.937289007
1990,719,47,-5.098125984
1991,681,53,6.415849656
1992,679,38,-8.293941099
1993,678,35,-11.14883648
1994,696,49,0.239280325
1995,713,42,-9.227498252
1996,732,60,6.015513928
1997,755,54,-3.321892381
1998,809,66,0.842458024
1999,830,82,13.79526096
2000,880,78,2.540029853
2001,944,81,-3.746665963
2002,962,95,7.641450839
2003,978,73,-16.68022312
2004,983,69,-21.40574623
2005,1010,79,-15.32357102
2006,1024,92,-4.355035733
2007,1027,73,-23.7903496
2008,1010,90,-4.323571023
2009,982,97,6.739358396
2010,942,83,-1.456456719
2011,922,88,6.445635724
2012,902,82,3.347728166
2013,897,73,-4.926748723
2014,900,69,-9.362062589
2015,916,86,5.316263457
2016,931,106,23.13969412
2017,944,111,26.25333404
2018,951,124,38.23760168
