Year,Forecast,Observed,Residuals
1984,10,13,1.867517527
1985,11,11,-1.08197016
1986,8,6,-3.2335071
1987,8,7,-2.2335071
1988,11,12,-0.08197016
1989,7,11,2.715980586
1990,11,14,1.91802984
1991,8,8,-1.2335071
1992,8,7,-2.2335071
1993,11,8,-4.08197016
1994,9,7,-3.182994787
1995,12,19,5.968542154
1996,10,13,1.867517527
1997,11,8,-4.08197016
1998,10,14,2.867517527
1999,14,12,-2.930433219
2000,12,15,1.968542154
2001,12,15,1.968542154
2002,11,12,-0.08197016
2003,14,16,1.069566781
2004,14,15,0.069566781
2005,15,28,12.12007909
2006,17,10,-7.778896279
2007,17,15,-2.778896279
2008,15,16,0.120079094
2009,11,9,-3.08197016
2010,18,19,0.271616035
2011,16,19,2.170591408
2012,13,19,5.019054467
2013,18,14,-4.728383965
2014,10,8,-3.132482473
2015,8,11,1.7664929
2016,14,15,0.069566781
2017,14,17,2.069566781
2018,14,15,0.069566781
