date,sellingprice,appraised,month,residuals
2/5/2003,825,626,0,-56.8500021
3/31/2003,590,492,1,-172.6698643
5/23/2003,1075,930,3,-77.22882222
11/25/2003,890,790,9,-137.7122603
3/29/2004,845,648,13,-56.4168904
4/28/2004,1100,942,14,-62.90167038
5/12/2004,715,345,15,83.07252571
9/2/2004,1325,1032,19,82.0519684
11/10/2004,700,556,21,-119.5917211
4/1/2005,1322,879,26,215.1307825
4/29/2005,1900,1016,26,671.2824326
6/1/2005,1600,1040,28,349.9367363
12/16/2005,980,442,34,261.8003364
3/8/2006,940,771,37,-70.81358406
1/23/2007,850,715,47,-111.0069593
8/29/2007,1100,997,54,-111.8188911
1/3/2008,1164,953,59,-8.685114527
6/16/2008,1425,922,64,279.8864099
6/26/2008,1865,1190,64,481.5261343
6/27/2008,1450,610,64,582.3804621
6/30/2008,875,806,64,-166.9427245
12/1/2008,1510,1241,70,81.16652957
12/15/2008,1375,813,70,326.8314474
3/31/2009,560,496,73,-206.2274803
9/22/2009,1050,774,79,36.5182039
4/30/2010,605,470,86,-138.102976
6/14/2010,675,545,88,-134.808277
11/8/2010,693,690,93,-245.771859
12/15/2010,360,690,94,-578.771859
1/27/2011,1455,1132,96,123.111567
4/26/2011,1068,867,99,-28.19636936
5/2/2011,1235,1009,100,12.50826071
6/3/2011,1083,601,101,223.3850982
2/29/2012,1200,904,109,70.89568214
3/26/2012,650,505,110,-124.2321165
6/29/2012,1000,877,113,-105.0904095
11/6/2012,1100,895,118,-21.09968174
12/28/2012,549,481,119,-203.8864201
2/14/2013,1405,822,120,348.8268112
3/15/2013,1000,870,121,-98.8645814
5/21/2013,1200,752,124,206.0850922
6/17/2013,1100,678,125,171.9009892
10/1/2013,955,591,129,104.2791384
10/3/2013,1200,888,129,85.12614635
10/31/2013,900,850,129,-181.0765011
3/31/2014,825,516,134,40.98443939
6/5/2014,886,626,137,4.149997902
6/5/2014,885,765,138,-120.47716
8/1/2014,750,584,140,-94.49503353
4/14/2016,862,639,160,-31.41225427
4/13/2016,875,645,160,-23.74867836
8/23/2016,940,699,164,-6.776495087
10/13/2016,1000,540,166,194.6387431
10/20/2016,420,847,166,-658.4082891
11/18/2016,1275,927,167,125.4393898
3/31/2017,1375,1134,171,41.33275902
4/11/2017,910,813,172,-138.1685526
6/12/2017,1020,659,174,108.7996655
7/14/2017,1360,1231,175,-59.93943029
8/7/2017,559,1231,176,-860.9394303
11/13/2017,1595,602,179,734.4956942
3/29/2018,950,819,183,-103.5049767
4/16/2018,950,814,184,-99.05795664
5/14/2018,975,1005,185,-243.9341232
4/22/2019,1072,995,196,-138.0400831
5/6/2019,1715,1272,197,258.5950052
6/14/2019,760,767,198,-247.255968
6/28/2019,800,689,198,-137.882455
7/16/2019,1125,972,199,-64.58379078
7/23/2019,1300,1132,199,-31.88843295
8/5/2019,1037,1069,200,-238.8559801
12/30/2019,1165,706,204,211.9976768
