Obs,Group,Trees,Species,Richness
1,1,27,22,0.81481
2,1,22,18,0.81818
3,1,29,22,0.75862
4,1,21,20,0.95238
5,1,19,15,0.78947
6,1,33,21,0.63636
7,1,16,13,0.8125
8,1,20,13,0.65
9,1,24,19,0.79167
10,1,27,13,0.48148
11,1,28,19,0.67857
12,1,19,15,0.78947
13,2,12,11,0.91667
14,2,12,11,0.91667
15,2,15,14,0.93333
16,2,9,7,0.77778
17,2,20,18,0.9
18,2,18,15,0.83333
19,2,17,15,0.88235
20,2,14,12,0.85714
21,2,14,13,0.92857
22,2,2,2,1
23,2,17,15,0.88235
24,2,19,8,0.42105
25,3,18,17,0.94444
26,3,4,4,1
27,3,22,18,0.81818
28,3,15,14,0.93333
29,3,18,18,1
30,3,19,15,0.78947
31,3,22,15,0.68182
32,3,12,10,0.83333
33,3,12,12,1
