condition,wordcount
longhand,269
longhand,76
longhand,148
longhand,118
longhand,93
laptop,554
laptop,274
laptop,285
laptop,298
laptop,177
laptop,216
laptop,263
laptop,231
laptop-intervention,304
laptop-intervention,170
laptop-intervention,210
laptop-intervention,247
laptop-intervention,325
longhand,77
longhand,173
longhand,258
longhand,273
longhand,176
longhand,270
longhand,107
longhand,92
laptop,566
laptop,206
laptop,106
laptop,154
laptop,243
laptop,421
laptop-intervention,473
laptop-intervention,401
laptop-intervention,256
longhand,115
laptop,428
laptop,383
laptop,200
laptop-intervention,279
laptop-intervention,239
longhand,124
laptop,133
laptop,252
laptop,337
laptop,440
laptop,428
laptop,198
laptop-intervention,261
laptop-intervention,236
laptop-intervention,364
longhand,149
laptop-intervention,330
laptop-intervention,246
laptop-intervention,327
laptop-intervention,180
laptop-intervention,287
laptop-intervention,319
laptop-intervention,155
longhand,172
laptop,332
laptop,245
laptop-intervention,287
longhand,158
longhand,112
longhand,218
laptop-intervention,206
laptop-intervention,136
longhand,77
longhand,97
longhand,198
longhand,182
longhand,77
longhand,172
longhand,68
laptop-intervention,40
laptop-intervention,144
laptop,368
laptop-intervention,226
laptop-intervention,91
longhand,212
longhand,225
longhand,104
laptop,219
laptop,171
laptop,85
laptop-intervention,106
laptop-intervention,232
laptop-intervention,289
longhand,178
longhand,143
longhand,82
longhand,178
longhand,102
longhand,127
longhand,130
laptop,307
laptop,355
laptop,276
laptop,114
laptop,211
laptop,260
laptop,140
laptop-intervention,214
laptop-intervention,133
laptop-intervention,169
laptop-intervention,278
laptop-intervention,242
laptop-intervention,107
longhand,118
longhand,162
longhand,170
longhand,161
longhand,169
longhand,133
laptop-intervention,195
laptop-intervention,213
laptop-intervention,209
laptop,298
laptop,90
laptop,110
laptop,367
laptop,108
longhand,218
longhand,117
longhand,166
longhand,289
laptop,258
laptop,268
laptop,210
laptop,222
laptop,521
laptop-intervention,177
laptop-intervention,143
laptop-intervention,226
longhand,254
laptop,133
laptop,260
laptop-intervention,203
laptop-intervention,226
laptop-intervention,248
laptop-intervention,195
laptop,93
laptop,217
laptop,276
laptop-intervention,393
laptop-intervention,328
laptop-intervention,197
laptop-intervention,182
laptop-intervention,129
laptop-intervention,136
