Odor,Time
lavender,92
lavender,126
lavender,114
lavender,106
lavender,89
lavender,137
lavender,93
lavender,76
lavender,98
lavender,108
lavender,124
lavender,105
lavender,129
lavender,103
lavender,107
lavender,109
lavender,94
lavender,105
lavender,102
lavender,108
lavender,95
lavender,121
lavender,109
lavender,104
lavender,116
lavender,88
lavender,109
lavender,97
lavender,101
lavender,106
lemon,78
lemon,104
lemon,74
lemon,75
lemon,112
lemon,88
lemon,105
lemon,97
lemon,101
lemon,89
lemon,88
lemon,73
lemon,94
lemon,63
lemon,83
lemon,108
lemon,91
lemon,88
lemon,83
lemon,106
lemon,108
lemon,60
lemon,96
lemon,94
lemon,56
lemon,90
lemon,113
lemon,97
noodor,103
noodor,68
noodor,79
noodor,106
noodor,72
noodor,121
noodor,92
noodor,84
noodor,72
noodor,92
noodor,85
noodor,69
noodor,73
noodor,87
noodor,109
noodor,115
noodor,91
noodor,84
noodor,76
noodor,96
noodor,107
noodor,98
noodor,92
noodor,107
noodor,93
noodor,118
noodor,87
noodor,101
noodor,75
noodor,86
