Condition,PercentOverlap
longhand,0.08988764
longhand,0.013513514
longhand,0.082191781
longhand,0.043103448
longhand,0.065934066
laptop,0.248188406
laptop,0.117647059
laptop,0.127208481
laptop,0.141891892
laptop,0.108571429
laptop,0.200934579
laptop,0.076628352
laptop,0.15720524
laptop-intervention,0.082781457
laptop-intervention,0.21428572
laptop-intervention,0.0625
laptop-intervention,0.106122449
laptop-intervention,0.03405573
longhand,0.16
longhand,0.058479532
longhand,0.06640625
longhand,0.055350554
longhand,0.040229885
longhand,0.037313433
longhand,0.038095238
longhand,0.133333333
laptop,0.159574468
laptop,0.112745098
laptop,0.125
laptop,0.059210526
laptop,0.087136929
laptop,0.093078759
laptop-intervention,0.15286624
laptop-intervention,0.102756892
laptop-intervention,0.18897638
longhand,0.053097345
laptop,0.208920188
laptop,0.154855643
laptop,0.176767677
laptop-intervention,0.1768953
laptop-intervention,0.092827004
longhand,0.180327869
laptop,0.122137405
laptop,0.08
laptop,0.134328358
laptop,0.196347032
laptop,0.180751174
laptop,0.081632653
laptop-intervention,0.27027027
laptop-intervention,0.07692308
laptop-intervention,0.082872928
longhand,0.054421769
laptop-intervention,0.15853658
laptop-intervention,0.225409836
laptop-intervention,0.107692308
laptop-intervention,0.005617978
laptop-intervention,0.098245614
laptop-intervention,0.14195584
laptop-intervention,0.111111111
longhand,0.070588235
laptop,0.1
laptop,0.160493827
laptop-intervention,0.1614035
longhand,0.153846154
longhand,0.045454545
longhand,0.125
laptop-intervention,0.044117647
laptop-intervention,0.05970149
longhand,0.013333333
longhand,0.042105263
longhand,0.066326531
longhand,0.055555556
longhand,0.026666667
longhand,0.052941176
longhand,0.181818182
laptop-intervention,0.184210526
laptop-intervention,0.169014085
laptop,0.051912568
laptop-intervention,0.071428575
laptop-intervention,0.168539326
longhand,0.104761905
longhand,0.040358744
longhand,0.029411765
laptop,0.101382488
laptop,0.023668639
laptop,0.096385542
laptop-intervention,0.019230769
laptop-intervention,0.095652174
laptop-intervention,0.2369338
longhand,0.028409091
longhand,0.035460993
longhand,0.0625
longhand,0.102272727
longhand,0.01
longhand,0.08
longhand,0.046875
laptop,0.2
laptop,0.144475921
laptop,0.124087591
laptop,0.035714286
laptop,0.04784689
laptop,0.178294574
laptop,0.079710145
laptop-intervention,0.226415094
laptop-intervention,0.099236645
laptop-intervention,0.089820359
laptop-intervention,0.112318841
laptop-intervention,0.09166667
laptop-intervention,0.142857143
longhand,0.051724138
longhand,0.05625
longhand,0.101190476
longhand,0.132075472
longhand,0.083832335
longhand,0.038167939
laptop-intervention,0.129533679
laptop-intervention,0.137440758
laptop-intervention,0.096618354
laptop,0.131756757
laptop,0.136363636
laptop,0.101851852
laptop,0.15890411
laptop,0.066037736
longhand,0.037037037
longhand,0.07826087
longhand,0.036585366
longhand,0.090592334
laptop,0.078125
laptop,0.109022556
laptop,0.216346154
laptop,0.063636364
laptop,0.16955684
laptop-intervention,0.114285715
laptop-intervention,0.113475177
laptop-intervention,0.0625
longhand,0.051587302
laptop,0.083969466
laptop,0.07751938
laptop-intervention,0.094527364
laptop-intervention,0.133928571
laptop-intervention,0.040650407
laptop-intervention,0.11398964
laptop,0.087912088
laptop,0.097674419
laptop,0.102189781
laptop-intervention,0.115089514
laptop-intervention,0.12883435
laptop-intervention,0.056410256
laptop-intervention,0.07777778
laptop-intervention,0.267716535
laptop-intervention,0.126865672
