Group,Time
prime,609
prime,444
prime,242
prime,199
prime,174
prime,55
prime,251
prime,466
prime,443
prime,531
prime,135
prime,241
prime,476
prime,482
prime,362
prime,69
prime,160
play,455
play,100
play,238
play,243
play,500
play,570
play,231
play,380
play,222
play,71
play,232
play,219
play,320
play,261
play,290
play,495
play,600
play,67
control,118
control,272
control,413
control,291
control,140
control,104
control,55
control,189
control,126
control,400
control,92
control,64
control,88
control,142
control,141
control,373
control,156
