MPG,EngineDisplacement,Type
16,5.2,Car
32,2,Car
22,3,Car
24,3,Car
21,3.5,Car
25,2,Car
20,3,Car
19,2.5,Car
22,3,Car
27,2,Car
24,3,Car
17,3.9,Car
15,5.2,Car
21,3.5,Car
30,2,Car
28,2,Car
24,3,Car
32,2,Car
18,4,Car
26,3.5,Car
26,2,Car
27,2,Car
31,2,Car
34,2,Car
29,2,Car
21,3,Car
16,5.3,Truck
14,5.7,Truck
17,4,Truck
23,2,Truck
22,2.5,Truck
16,5.6,Truck
23,2.5,Truck
26,1.5,Truck
21,3.5,Truck
23,2,Truck
19,3.5,Truck
21,2,Truck
27,1.3,Truck
25,2,Truck
17,4,Truck
17,6.2,Truck
19,3.6,Truck
28,2.5,Truck
18,4.4,Truck
25,2,Truck
20,3.6,Truck
22,2,Truck
