MPG,EngineDisplacement,Type,IndType,Interaction
16,5.2,Car,0,0
32,2,Car,0,0
22,3,Car,0,0
24,3,Car,0,0
21,3.5,Car,0,0
25,2,Car,0,0
20,3,Car,0,0
19,2.5,Car,0,0
22,3,Car,0,0
27,2,Car,0,0
24,3,Car,0,0
17,3.9,Car,0,0
15,5.2,Car,0,0
21,3.5,Car,0,0
30,2,Car,0,0
28,2,Car,0,0
24,3,Car,0,0
32,2,Car,0,0
18,4,Car,0,0
26,3.5,Car,0,0
26,2,Car,0,0
27,2,Car,0,0
31,2,Car,0,0
34,2,Car,0,0
29,2,Car,0,0
21,3,Car,0,0
16,5.3,Truck,1,5.3
14,5.7,Truck,1,5.7
17,4,Truck,1,4
23,2,Truck,1,2
22,2.5,Truck,1,2.5
16,5.6,Truck,1,5.6
23,2.5,Truck,1,2.5
26,1.5,Truck,1,1.5
21,3.5,Truck,1,3.5
23,2,Truck,1,2
19,3.5,Truck,1,3.5
21,2,Truck,1,2
27,1.3,Truck,1,1.3
25,2,Truck,1,2
17,4,Truck,1,4
17,6.2,Truck,1,6.2
19,3.6,Truck,1,3.6
28,2.5,Truck,1,2.5
18,4.4,Truck,1,4.4
25,2,Truck,1,2
20,3.6,Truck,1,3.6
22,2,Truck,1,2
