MPG,EngineDisplacement,Type,IndType
16,5.2,Car,1
32,2,Car,1
22,3,Car,1
24,3,Car,1
21,3.5,Car,1
25,2,Car,1
20,3,Car,1
19,2.5,Car,1
22,3,Car,1
27,2,Car,1
24,3,Car,1
17,3.9,Car,1
15,5.2,Car,1
21,3.5,Car,1
30,2,Car,1
28,2,Car,1
24,3,Car,1
32,2,Car,1
18,4,Car,1
26,3.5,Car,1
26,2,Car,1
27,2,Car,1
31,2,Car,1
34,2,Car,1
29,2,Car,1
21,3,Car,1
16,5.3,Truck,0
14,5.7,Truck,0
17,4,Truck,0
23,2,Truck,0
22,2.5,Truck,0
16,5.6,Truck,0
23,2.5,Truck,0
26,1.5,Truck,0
21,3.5,Truck,0
23,2,Truck,0
19,3.5,Truck,0
21,2,Truck,0
27,1.3,Truck,0
25,2,Truck,0
17,4,Truck,0
17,6.2,Truck,0
19,3.6,Truck,0
28,2.5,Truck,0
18,4.4,Truck,0
25,2,Truck,0
20,3.6,Truck,0
22,2,Truck,0
