State,ERW,Salary,Pct
Alabama,595,5.0239,6
Alaska,562,6.9474,43
Arizona,577,4.7746,29
Arkansas,592,4.9017,5
California,540,8.1126,60
Colorado,519,5.2389,100
Connecticut,535,7.3113,100
Delaware,505,6.0484,100
DistColumbia,497,7.6486,92
Florida,522,4.7721,97
Georgia,541,5.6329,70
Hawaii,550,5.7866,56
Idaho,508,4.9225,100
Illinois,513,6.5776,99
Indiana,546,5.4846,67
Iowa,634,5.679,3
Kansas,633,5.0403,4
Kentucky,630,5.2952,4
Louisiana,615,5.0256,4
Maine,512,5.1663,99
Maryland,545,6.9761,76
Massachusetts,562,7.971,80
Michigan,511,6.2702,100
Minnesota,643,5.7782,4
Mississippi,630,4.3107,3
Missouri,633,4.9208,4
Montana,606,5.2776,10
Nebraska,629,5.3473,3
Nevada,574,5.7812,23
NewHampshire,535,5.7833,96
NewJersey,547,6.9917,82
NewMexico,552,4.7839,16
NewYork,534,8.3585,79
NorthCarolina,554,5.0861,52
NorthDakota,640,5.4421,2
Ohio,552,5.8,18
Oklahoma,541,4.5678,8
Oregon,564,6.3143,48
Pennsylvania,547,6.7398,70
RhodeIsland,513,6.6758,97
SouthCarolina,547,5.1027,55
SouthDakota,622,4.7944,3
Tennessee,624,5.09,6
Texas,520,5.3167,66
Utah,618,4.7604,4
Vermont,565,5.8527,64
Virginia,567,5.1265,68
Washington,543,5.5175,69
WestVirginia,513,4.5642,28
Wisconsin,641,5.5895,3
Wyoming,633,5.8578,3
