Year,Area,MeanCO2,Temp ,SeaLevel
1979,4.58,336.84,0.23,5.362204719
1980,4.87,338.75,0.28,5.598425191
1981,4.44,340.11,0.33,6.086614167
1982,4.43,341.45,0.2,5.858267711
1983,4.7,343.05,0.36,6.188976372
1984,4.11,344.65,0.17,6.153543301
1985,4.23,346.12,0.16,5.74803149
1986,4.72,347.42,0.24,5.771653537
1987,5.64,349.19,0.39,5.795275585
1988,5.36,351.57,0.4,5.980314955
1989,4.86,353.12,0.3,6.157480309
1990,4.55,354.39,0.45,6.232283458
1991,4.51,355.61,0.39,6.334645663
1992,5.43,356.45,0.24,6.35826771
1993,4.58,357.1,0.29,6.291338576
1994,5.13,358.83,0.35,6.310873083
1995,4.43,360.82,0.47,6.491944632
1996,5.62,362.61,0.33,6.650532647
1997,4.89,363.73,0.52,6.740033959
1998,4.3,366.7,0.66,6.865030412
1999,4.29,368.38,0.44,6.843632243
2000,4.35,369.55,0.43,6.905792086
2001,4.59,371.14,0.57,7.05800278
2002,4.03,373.28,0.62,7.290008417
2003,4.05,375.8,0.64,7.461613419
2004,4.39,377.52,0.59,7.473863577
2005,4.07,379.8,0.67,7.606167314
2006,4.01,381.9,0.64,7.652010954
2007,2.82,383.79,0.62,7.658591053
2008,3.26,385.6,0.55,7.862772109
2009,3.76,387.43,0.65,7.993083968
2010,3.34,389.9,0.73,8.065856398
2011,3.21,391.65,0.58,7.97687824
2012,2.41,393.85,0.64,8.397377333
2013,3.78,396.52,0.68,8.484542336
2014,3.74,398.65,0.74,8.598323546
2015,3.42,400.83,0.93,8.943307703
2016,2.91,404.24,1,9.3098382
2017,3.35,406.55,0.91,9.2165361
