MPH,cy0Percent,cy2Percent,cy4Percent,life0Percent,life2Percent,life4Percent
1.5,174,207,240,178,212,246
2,205,249,294,210,256,301
2.5,236,291,347,243,300,356
3,267,333,400,276,343,411
3.5,372,436,503,308,387,466
4,482,542,607,341,431,522
4.5,592,649,709,667,718,769
5,701,756,812,732,789,845
5.5,763,824,885,797,860,922
6,825,892,959,863,930,998
6.5,887,960,1032,928,1015,1075
7,949,1027,1105,993,1072,1151
7.5,1011,1094,1178,1058,1143,1228
8,1073,1163,1252,1123,1214,1304
8.5,1135,1230,1325,1189,1285,1381
9,1197,1298,1398,1254,1356,1457
9.5,1259,1365,1470,1319,1426,1534
10,1321,1433,1544,1384,1497,1610
