date,sellingprice,appraised,month
2/5/2003,825,626,0
3/31/2003,590,492,1
5/23/2003,1075,930,3
11/25/2003,890,790,9
3/29/2004,845,648,13
4/28/2004,1100,942,14
5/12/2004,715,345,15
9/2/2004,1325,1032,19
11/10/2004,700,556,21
4/1/2005,1322,879,26
4/29/2005,1900,1016,26
6/1/2005,1600,1040,28
12/16/2005,980,442,34
3/8/2006,940,771,37
1/23/2007,850,715,47
8/29/2007,1100,997,54
1/3/2008,1164,953,59
6/16/2008,1425,922,64
6/26/2008,1865,1190,64
6/27/2008,1450,610,64
6/30/2008,875,806,64
12/1/2008,1510,1241,70
12/15/2008,1375,813,70
3/31/2009,560,496,73
9/22/2009,1050,774,79
4/30/2010,605,470,86
6/14/2010,675,545,88
11/8/2010,693,690,93
12/15/2010,360,690,94
1/27/2011,1455,1132,96
4/26/2011,1068,867,99
5/2/2011,1235,1009,100
6/3/2011,1083,601,101
2/29/2012,1200,904,109
3/26/2012,650,505,110
6/29/2012,1000,877,113
11/6/2012,1100,895,118
12/28/2012,549,481,119
2/14/2013,1405,822,120
3/15/2013,1000,870,121
5/21/2013,1200,752,124
6/17/2013,1100,678,125
10/1/2013,955,591,129
10/3/2013,1200,888,129
10/31/2013,900,850,129
3/31/2014,825,516,134
6/5/2014,886,626,137
6/5/2014,885,765,138
8/1/2014,750,584,140
4/14/2016,862,639,160
4/13/2016,875,645,160
8/23/2016,940,699,164
10/13/2016,1000,540,166
10/20/2016,420,847,166
11/18/2016,1275,927,167
3/31/2017,1375,1134,171
4/11/2017,910,813,172
6/12/2017,1020,659,174
7/14/2017,1360,1231,175
8/7/2017,559,1231,176
11/13/2017,1595,602,179
3/29/2018,950,819,183
4/16/2018,950,814,184
5/14/2018,975,1005,185
4/22/2019,1072,995,196
5/6/2019,1715,1272,197
6/14/2019,760,767,198
6/28/2019,800,689,198
7/16/2019,1125,972,199
7/23/2019,1300,1132,199
8/5/2019,1037,1069,200
12/30/2019,1165,706,204
