Group,Learn,Place,Score
1,Act,Bef,14
1,Act,Bef,14
1,Act,Bef,16
1,Act,Bef,14
1,Act,Bef,6
1,Act,Bef,10
1,Act,Bef,12
1,Act,Bef,13
1,Act,Bef,12
1,Act,Bef,12
1,Act,Bef,13
1,Act,Bef,9
2,Pas,Bef,4
2,Pas,Bef,4
2,Pas,Bef,9
2,Pas,Bef,8
2,Pas,Bef,15
2,Pas,Bef,8
2,Pas,Bef,9
2,Pas,Bef,13
2,Pas,Bef,13
2,Pas,Bef,12
2,Pas,Bef,12
2,Pas,Bef,10
3,Pas,Dur,11
3,Pas,Dur,8
3,Pas,Dur,8
3,Pas,Dur,7
3,Pas,Dur,14
3,Pas,Dur,9
3,Pas,Dur,7
3,Pas,Dur,8
3,Pas,Dur,12
3,Pas,Dur,10
3,Pas,Dur,6
3,Pas,Dur,3
4,Act,Dur,12
4,Act,Dur,22
4,Act,Dur,9
4,Act,Dur,14
4,Act,Dur,20
4,Act,Dur,15
4,Act,Dur,9
4,Act,Dur,10
4,Act,Dur,11
4,Act,Dur,11
4,Act,Dur,15
4,Act,Dur,6
