Group,Myc,Fert,PLP
1,mutant,0,0.29
1,mutant,0,0.25
1,mutant,0,0.27
1,mutant,0,0.24
1,mutant,0,0.24
1,mutant,0,0.2
2,mutant,28,0.21
2,mutant,28,0.24
2,mutant,28,0.21
2,mutant,28,0.22
2,mutant,28,0.19
2,mutant,28,0.17
3,mutant,160,0.18
3,mutant,160,0.2
3,mutant,160,0.19
3,mutant,160,0.19
3,mutant,160,0.16
3,mutant,160,0.17
4,normal,0,0.64
4,normal,0,0.54
4,normal,0,0.53
4,normal,0,0.52
4,normal,0,0.41
4,normal,0,0.43
5,normal,28,0.41
5,normal,28,0.37
5,normal,28,0.5
5,normal,28,0.43
5,normal,28,0.39
5,normal,28,0.44
6,normal,160,0.34
6,normal,160,0.31
6,normal,160,0.36
6,normal,160,0.37
6,normal,160,0.26
6,normal,160,0.27
