Animal,Sex,Housing,Count
1,M,Isolated,15
2,M,Isolated,14
3,M,Isolated,15
4,M,Isolated,13
5,M,Isolated,17
6,M,Isolated,13
7,M,Isolated,16
8,M,Isolated,25
9,M,Isolated,8
10,M,Isolated,25
11,M,Isolated,35
12,M,Isolated,29
13,F,Isolated,2
14,F,Isolated,4
15,F,Isolated,13
16,F,Isolated,28
17,F,Isolated,14
18,F,Isolated,27
19,F,Isolated,16
20,F,Isolated,25
21,F,Isolated,17
22,F,Isolated,24
23,F,Isolated,28
24,F,Isolated,22
25,M,Group,32
26,M,Group,51
27,M,Group,30
28,M,Group,33
29,M,Group,11
30,M,Group,21
31,M,Group,4
32,M,Group,22
33,M,Group,33
34,M,Group,43
35,M,Group,27
36,M,Group,42
37,F,Group,41
38,F,Group,8
39,F,Group,38
40,F,Group,24
41,F,Group,28
42,F,Group,22
43,F,Group,27
44,F,Group,30
45,F,Group,23
46,F,Group,46
47,F,Group,7
48,F,Group,18
