ID,Sex,Condition,AssemblyScore
1,female,without instruction,4
2,male,with instruction,10
3,male,with instruction,7
4,female,without instruction,3
5,female,without instruction,8
6,male,without instruction,10
7,male,without instruction,9
8,male,without instruction,9
9,male,without instruction,10
10,male,with instruction,8
11,female,with instruction,9
12,male,with instruction,8
13,male,with instruction,10
14,male,with instruction,10
15,female,without instruction,4
16,female,with instruction,8
17,male,with instruction,8
18,female,without instruction,8
19,male,without instruction,3
20,male,with instruction,10
21,male,with instruction,5
22,female,without instruction,10
23,female,without instruction,5
24,female,without instruction,5
25,male,with instruction,9
26,female,with instruction,9
27,female,without instruction,5
28,female,without instruction,4
29,female,with instruction,3
30,male,with instruction,9
31,female,with instruction,6
32,female,with instruction,10
33,female,without instruction,10
34,female,with instruction,2
35,female,with instruction,9
36,female,with instruction,7
37,female,with instruction,10
38,female,without instruction,5
39,male,with instruction,10
40,female,with instruction,4
41,female,without instruction,6
42,female,with instruction,2
43,female,with instruction,8
44,female,without instruction,3
45,female,with instruction,10
46,female,without instruction,3
47,female,with instruction,10
48,male,without instruction,8
49,male,without instruction,5
50,male,without instruction,10
51,female,with instruction,9
52,female,with instruction,10
53,male,with instruction,10
54,female,without instruction,10
55,male,without instruction,9
56,male,with instruction,10
57,female,without instruction,5
58,male,without instruction,8
59,male,without instruction,9
60,male,with instruction,9
61,female,without instruction,4
62,male,with instruction,10
63,male,without instruction,10
64,male,without instruction,10
65,male,without instruction,4
66,male,without instruction,9
67,male,with instruction,9
68,female,with instruction,10
69,female,with instruction,8
70,female,with instruction,6
71,male,with instruction,8
72,male,without instruction,6
73,female,without instruction,3
74,male,without instruction,9
75,male,with instruction,8
76,male,without instruction,10
77,male,without instruction,2
78,male,with instruction,10
79,male,without instruction,2
80,female,without instruction,9
