Color,Typeface,Healthiness
Green,Unnatural,18
Green,Unnatural,8
Green,Unnatural,20
Green,Unnatural,17
Green,Unnatural,20
Green,Unnatural,16
Green,Unnatural,16
Green,Unnatural,9
Green,Unnatural,17
Green,Unnatural,19
Green,Unnatural,22
Green,Unnatural,18
Green,Unnatural,22
Green,Unnatural,18
Green,Unnatural,19
Green,Unnatural,21
Green,Unnatural,18
Green,Unnatural,20
Green,Unnatural,24
Green,Unnatural,22
Green,Unnatural,11
Green,Unnatural,25
Green,Unnatural,18
Green,Unnatural,18
Green,Unnatural,11
Green,Unnatural,20
Green,Unnatural,20
Green,Unnatural,14
Green,Unnatural,16
Green,Unnatural,16
Green,Unnatural,12
Green,Unnatural,18
Green,Unnatural,16
Green,Unnatural,22
Green,Unnatural,18
Green,Unnatural,12
Green,Unnatural,21
Green,Unnatural,19
Green,Unnatural,10
Green,Unnatural,24
Green,Unnatural,18
Green,Unnatural,16
Green,Unnatural,22
Green,Unnatural,13
Green,Unnatural,8
Green,Unnatural,19
Green,Unnatural,24
Green,Unnatural,13
Green,Unnatural,8
Green,Unnatural,14
Green,Unnatural,23
Green,Unnatural,8
Green,Unnatural,7
Green,Unnatural,21
Green,Unnatural,15
Green,Unnatural,22
Green,Unnatural,21
Green,Unnatural,18
Green,Unnatural,16
Green,Unnatural,7
Green,Unnatural,15
Green,Unnatural,22
Green,Unnatural,24
Red,Unnatural,10
Red,Unnatural,12
Red,Unnatural,20
Red,Unnatural,15
Red,Unnatural,14
Red,Unnatural,12
Red,Unnatural,15
Red,Unnatural,11
Red,Unnatural,10
Red,Unnatural,13
Red,Unnatural,22
Red,Unnatural,16
Red,Unnatural,10
Red,Unnatural,15
Red,Unnatural,11
Red,Unnatural,16
Red,Unnatural,23
Red,Unnatural,10
Red,Unnatural,20
Red,Unnatural,18
Red,Unnatural,10
Red,Unnatural,12
Red,Unnatural,18
Red,Unnatural,12
Red,Unnatural,10
Red,Unnatural,14
Red,Unnatural,17
Red,Unnatural,10
Red,Unnatural,14
Red,Unnatural,12
Red,Unnatural,14
Red,Unnatural,17
Red,Unnatural,18
Red,Unnatural,16
Red,Unnatural,7
Red,Unnatural,11
Red,Unnatural,10
Red,Unnatural,15
Red,Unnatural,16
Red,Unnatural,9
Red,Unnatural,21
Red,Unnatural,15
Red,Unnatural,9
Red,Unnatural,13
Red,Unnatural,19
Red,Unnatural,20
Red,Unnatural,12
Red,Unnatural,21
Red,Unnatural,10
Red,Unnatural,14
Red,Unnatural,27
Red,Unnatural,23
Red,Unnatural,9
Red,Unnatural,20
Red,Unnatural,18
Red,Unnatural,21
Red,Unnatural,28
Red,Unnatural,5
Red,Unnatural,16
Red,Unnatural,19
Red,Unnatural,13
Red,Unnatural,10
Red,Unnatural,18
Green,Natural,11
Green,Natural,12
Green,Natural,23
Green,Natural,12
Green,Natural,14
Green,Natural,22
Green,Natural,24
Green,Natural,13
Green,Natural,15
Green,Natural,20
Green,Natural,10
Green,Natural,16
Green,Natural,17
Green,Natural,16
Green,Natural,16
Green,Natural,19
Green,Natural,16
Green,Natural,22
Green,Natural,17
Green,Natural,24
Green,Natural,13
Green,Natural,24
Green,Natural,19
Green,Natural,20
Green,Natural,20
Green,Natural,14
Green,Natural,26
Green,Natural,21
Green,Natural,21
Green,Natural,16
Green,Natural,24
Green,Natural,12
Green,Natural,16
Green,Natural,15
Green,Natural,23
Green,Natural,24
Green,Natural,23
Green,Natural,15
Green,Natural,20
Green,Natural,22
Green,Natural,23
Green,Natural,19
Green,Natural,18
Green,Natural,17
Green,Natural,11
Green,Natural,19
Green,Natural,16
Green,Natural,11
Green,Natural,24
Green,Natural,25
Green,Natural,15
Green,Natural,22
Green,Natural,17
Green,Natural,18
Green,Natural,20
Green,Natural,17
Green,Natural,13
Green,Natural,26
Green,Natural,23
Green,Natural,18
Green,Natural,8
Green,Natural,18
Green,Natural,23
Red,Natural,16
Red,Natural,28
Red,Natural,10
Red,Natural,19
Red,Natural,13
Red,Natural,20
Red,Natural,21
Red,Natural,4
Red,Natural,8
Red,Natural,19
Red,Natural,8
Red,Natural,20
Red,Natural,21
Red,Natural,15
Red,Natural,22
Red,Natural,23
Red,Natural,21
Red,Natural,13
Red,Natural,21
Red,Natural,15
Red,Natural,16
Red,Natural,24
Red,Natural,16
Red,Natural,20
Red,Natural,8
Red,Natural,22
Red,Natural,20
Red,Natural,15
Red,Natural,24
Red,Natural,22
Red,Natural,20
Red,Natural,16
Red,Natural,24
Red,Natural,8
Red,Natural,23
Red,Natural,23
Red,Natural,17
Red,Natural,16
Red,Natural,14
Red,Natural,28
Red,Natural,18
Red,Natural,16
Red,Natural,4
Red,Natural,20
Red,Natural,16
Red,Natural,21
Red,Natural,8
Red,Natural,18
Red,Natural,16
Red,Natural,20
Red,Natural,20
Red,Natural,16
Red,Natural,11
Red,Natural,11
Red,Natural,8
Red,Natural,9
Red,Natural,18
Red,Natural,16
Red,Natural,9
Red,Natural,19
Red,Natural,15
Red,Natural,24
Red,Natural,16
