Sample,DataSetA,DataSetB,DataSetC
1,12.152,12.248,12.323
2,12.250,12.234,12.352
3,12.365,12.141,12.227
4,12.297,12.452,12.052
5,12.492,12.347,12.219
6,12.419,12.205,12.145
7,12.442,12.286,12.285
8,12.304,12.459,12.247
9,12.165,12.111,12.301
10,12.386,12.318,12.169
11,12.271,12.498,12.342
12,11.947,12.182,12.344
13,12.124,12.506,12.242
14,12.039,12.373,12.099
15,12.091,12.532,12.266
16,12.054,12.608,12.448
17,12.144,12.581,12.378
18,12.241,12.701,12.189
19,12.002,12.759,12.401
20,11.935,12.741,12.282
