State,PctFirst
Vermont,33
Delaware,37
North Dakota,40
New Hampshire,43
Wyoming,50
Rhode Island,52
Mississippi,52
South Dakota,55
Iowa,56
Arizona,57
Alabama,59
Montana,60
Oregon,61
South Carolina,63
West Virginia,64
Maine,67
Idaho,68
Oklahoma,69
Hawaii,70
Kansas,70
Wisconsin,71
Arkansas,71
Kentucky,73
Indiana,73
Colorado,73
Minnesota,74
Maryland,74
Pennsylvania,74
Nebraska,75
Missouri,76
Utah,76
Nevada,76
Virginia,77
Washington,79
New Mexico,79
Ohio,79
Michigan,80
Connecticut,82
Massachusetts,84
Florida,85
Tennessee,86
North Carolina,87
Louisiana,87
Illinois,87
Georgia,87
California,88
New Jersey,90
New York,92
Alaska,92
Texas,94
,
,
,
