date,Bachelors,Less than HS
1992 Jan,3.1,10.8
1992 Feb,3.2,11.0
1992 Mar,2.9,11.2
1992 Apr,3.2,10.8
1992 May,3.2,12.2
1992 Jun,3.2,11.9
1992 Jul,3.1,11.9
1992 Aug,3.0,11.8
1992 Sep,3.2,11.7
1992 Oct,3.3,11.5
1992 Nov,3.4,11.6
1992 Dec,3.3,11.3
1993 Jan,3.1,11.1
1993 Feb,3.2,11.1
1993 Mar,3.2,10.9
1993 Apr,3.2,10.9
1993 May,3.0,10.8
1993 Jun,2.9,11.2
1993 Jul,2.8,10.4
1993 Aug,2.6,10.5
1993 Sep,2.8,10.7
1993 Oct,2.9,10.7
1993 Nov,2.9,10.5
1993 Dec,2.8,11.0
1994 Jan,2.9,10.7
1994 Feb,2.8,10.4
1994 Mar,2.8,10.5
1994 Apr,2.5,10.1
1994 May,2.5,9.3
1994 Jun,2.6,9.7
1994 Jul,2.7,9.8
1994 Aug,2.5,9.8
1994 Sep,2.5,9.6
1994 Oct,2.4,9.7
1994 Nov,2.3,9.2
1994 Dec,2.3,8.5
1995 Jan,2.4,9.2
1995 Feb,2.3,8.9
1995 Mar,2.5,8.0
1995 Apr,2.7,8.8
1995 May,2.5,8.7
1995 Jun,2.6,8.7
1995 Jul,2.5,9.0
1995 Aug,2.5,9.5
1995 Sep,2.4,9.1
1995 Oct,2.4,9.1
1995 Nov,2.3,9.3
1995 Dec,2.4,9.2
1996 Jan,2.4,8.7
1996 Feb,2.3,8.9
1996 Mar,2.2,9.2
1996 Apr,2.3,9.1
1996 May,2.3,9.7
1996 Jun,2.2,8.6
1996 Jul,2.2,8.8
1996 Aug,2.1,8.5
1996 Sep,2.2,8.2
1996 Oct,2.2,7.8
1996 Nov,2.3,8.4
1996 Dec,2.3,8.3
1997 Jan,2.1,8.8
1997 Feb,2.1,8.8
1997 Mar,2.0,8.3
1997 Apr,2.0,8.4
1997 May,2.2,8.5
1997 Jun,2.0,8.2
1997 Jul,2.1,7.7
1997 Aug,2.1,7.6
1997 Sep,2.1,8.0
1997 Oct,1.9,7.8
1997 Nov,1.7,7.4
1997 Dec,1.8,7.5
1998 Jan,1.9,7.0
1998 Feb,1.9,7.1
1998 Mar,1.8,7.1
1998 Apr,1.7,7.2
1998 May,1.7,7.0
1998 Jun,1.7,7.2
1998 Jul,1.7,7.2
1998 Aug,1.8,7.1
1998 Sep,1.7,6.9
1998 Oct,1.9,6.9
1998 Nov,1.9,7.1
1998 Dec,1.8,6.9
1999 Jan,1.8,7.1
1999 Feb,1.9,7.5
1999 Mar,1.9,6.1
1999 Apr,2.0,6.9
1999 May,1.9,6.8
1999 Jun,2.0,6.8
1999 Jul,1.8,6.9
1999 Aug,1.6,7.1
1999 Sep,1.7,6.9
1999 Oct,1.7,6.6
1999 Nov,1.7,6.4
1999 Dec,1.7,5.8
2000 Jan,1.8,6.4
2000 Feb,1.6,6.0
2000 Mar,1.7,6.6
2000 Apr,1.5,6.2
2000 May,1.6,6.9
2000 Jun,1.6,6.3
2000 Jul,1.7,6.4
2000 Aug,1.9,6.2
2000 Sep,1.9,6.2
2000 Oct,1.6,6.4
2000 Nov,1.5,6.5
2000 Dec,1.5,5.9
2001 Jan,1.6,6.7
2001 Feb,1.6,7.5
2001 Mar,2.0,6.8
2001 Apr,2.1,6.8
2001 May,2.1,6.6
2001 Jun,2.2,6.9
2001 Jul,2.2,6.8
2001 Aug,2.3,7.2
2001 Sep,2.5,7.7
2001 Oct,2.6,7.6
2001 Nov,2.9,8.0
2001 Dec,3.0,8.3
2002 Jan,2.9,8.2
2002 Feb,2.9,8.3
2002 Mar,2.8,8.1
2002 Apr,2.9,9.1
2002 May,2.9,8.3
2002 Jun,3.0,7.8
2002 Jul,3.0,8.6
2002 Aug,2.8,8.4
2002 Sep,2.9,7.8
2002 Oct,3.0,8.7
2002 Nov,2.9,9.0
2002 Dec,2.9,8.9
2003 Jan,3.0,8.8
2003 Feb,3.0,8.9
2003 Mar,3.1,8.6
2003 Apr,3.0,8.5
2003 May,3.0,9.0
2003 Jun,3.1,9.4
2003 Jul,3.1,8.8
2003 Aug,3.2,9.3
2003 Sep,3.2,8.6
2003 Oct,3.1,9.0
2003 Nov,3.1,8.7
2003 Dec,3.0,7.9
2004 Jan,2.9,9.1
2004 Feb,2.9,8.6
2004 Mar,2.9,8.8
2004 Apr,2.9,8.6
2004 May,2.9,8.8
2004 Jun,2.7,8.7
2004 Jul,2.6,8.2
2004 Aug,2.7,8.1
2004 Sep,2.6,8.7
2004 Oct,2.5,8.4
2004 Nov,2.5,8.0
2004 Dec,2.5,8.1
2005 Jan,2.4,7.7
2005 Feb,2.4,7.8
2005 Mar,2.4,7.8
2005 Apr,2.4,8.2
2005 May,2.4,7.8
2005 Jun,2.3,6.9
2005 Jul,2.3,7.5
2005 Aug,2.1,7.5
2005 Sep,2.3,8.2
2005 Oct,2.3,7.3
2005 Nov,2.3,7.4
2005 Dec,2.1,7.4
2006 Jan,2.1,7.0
2006 Feb,2.2,7.1
2006 Mar,2.2,6.9
2006 Apr,2.2,6.9
2006 May,2.1,7.0
2006 Jun,2.1,7.1
2006 Jul,2.0,7.1
2006 Aug,1.8,6.8
2006 Sep,2.1,6.4
2006 Oct,1.9,5.8
2006 Nov,1.8,6.6
2006 Dec,1.8,6.7
2007 Jan,2.1,6.9
2007 Feb,1.9,7.3
2007 Mar,1.8,6.9
2007 Apr,1.9,7.1
2007 May,2.0,6.6
2007 Jun,2.0,6.7
2007 Jul,2.1,7.3
2007 Aug,2.1,6.5
2007 Sep,2.0,7.6
2007 Oct,2.1,7.3
2007 Nov,2.2,7.7
2007 Dec,2.1,7.7
2008 Jan,2.1,7.7
2008 Feb,2.0,7.4
2008 Mar,2.1,8.4
2008 Apr,2.1,7.7
2008 May,2.2,8.1
2008 Jun,2.4,8.7
2008 Jul,2.5,8.6
2008 Aug,2.8,9.7
2008 Sep,2.6,9.8
2008 Oct,3.1,10.3
2008 Nov,3.2,10.8
2008 Dec,3.6,11.1
2009 Jan,3.9,12.4
2009 Feb,4.1,13.2
2009 Mar,4.3,14.0
2009 Apr,4.4,14.9
2009 May,4.8,15.2
2009 Jun,4.8,15.6
2009 Jul,4.8,15.3
2009 Aug,4.8,15.6
2009 Sep,5.0,14.9
2009 Oct,4.7,15.2
2009 Nov,4.8,14.7
2009 Dec,4.9,15.0
2010 Jan,4.9,15.3
2010 Feb,4.9,15.8
2010 Mar,4.9,14.9
2010 Apr,4.8,14.7
2010 May,4.6,14.6
2010 Jun,4.4,14.2
2010 Jul,4.5,13.5
2010 Aug,4.6,14.1
2010 Sep,4.5,15.6
2010 Oct,4.6,15.0
2010 Nov,5.0,15.4
2010 Dec,4.8,15.0
2011 Jan,4.3,14.3
2011 Feb,4.3,14.0
2011 Mar,4.4,14.1
2011 Apr,4.5,14.7
2011 May,4.5,14.5
2011 Jun,4.3,14.4
2011 Jul,4.2,14.5
2011 Aug,4.2,14.1
2011 Sep,4.2,14.3
2011 Oct,4.3,13.5
2011 Nov,4.4,12.8
2011 Dec,4.1,13.7
2012 Jan,4.3,13.0
2012 Feb,4.2,13.1
2012 Mar,4.1,12.8
2012 Apr,4.0,12.5
2012 May,3.9,12.9
2012 Jun,4.0,12.6
2012 Jul,4.1,12.4
2012 Aug,4.1,11.8
2012 Sep,4.0,11.7
2012 Oct,3.7,12.1
2012 Nov,3.9,12.0
2012 Dec,4.0,11.8
2013 Jan,3.8,12.0
2013 Feb,3.9,11.3
2013 Mar,3.8,11.1
2013 Apr,3.9,11.6
2013 May,3.9,11.0
2013 Jun,3.8,10.7
2013 Jul,3.8,10.8
2013 Aug,3.4,11.1
2013 Sep,3.7,10.5
2013 Oct,3.7,10.9
2013 Nov,3.4,10.7
2013 Dec,3.3,9.8
2014 Jan,3.3,9.4
2014 Feb,3.4,9.8
2014 Mar,3.4,9.4
2014 Apr,3.3,8.7
2014 May,3.2,9.2
2014 Jun,3.3,9.2
2014 Jul,3.1,9.5
2014 Aug,3.2,9.2
2014 Sep,2.9,8.5
2014 Oct,3.0,8.1
2014 Nov,3.2,8.6
2014 Dec,2.8,8.6
2015 Jan,2.8,8.3
2015 Feb,2.7,8.2
2015 Mar,2.4,8.6
2015 Apr,2.7,8.5
2015 May,2.8,8.7
2015 Jun,2.5,8.2
2015 Jul,2.5,8.3
2015 Aug,2.4,7.9
2015 Sep,2.5,7.9
2015 Oct,2.5,7.6
2015 Nov,2.6,6.8
2015 Dec,2.5,6.5
2016 Jan,2.5,7.1
2016 Feb,2.5,7.0
2016 Mar,2.6,7.4
2016 Apr,2.4,7.6
2016 May,2.5,7.5
2016 Jun,2.5,7.6
2016 Jul,2.5,6.4
2016 Aug,2.6,7.4
2016 Sep,2.5,8.5
2016 Oct,2.6,7.5
2016 Nov,2.4,7.8
2016 Dec,2.5,7.6
2017 Jan,2.5,7.4
2017 Feb,2.4,7.6
2017 Mar,2.4,6.6
2017 Apr,2.4,6.4
2017 May,2.3,6.3
2017 Jun,2.3,6.5
2017 Jul,2.3,7.0
2017 Aug,2.4,6.1
2017 Sep,2.3,6.7
2017 Oct,2.1,6.0
2017 Nov,2.1,5.2
2017 Dec,2.1,6.3
2018 Jan,2.2,5.5
2018 Feb,2.2,5.6
2018 Mar,2.2,5.6
2018 Apr,2.1,5.8
2018 May,2.0,5.5
2018 Jun,2.3,5.6
2018 Jul,2.2,5.0
2018 Aug,2.0,5.7
2018 Sep,2.0,5.6
2018 Oct,2.0,5.9
2018 Nov,2.2,5.6
2018 Dec,2.1,5.8
2019 Jan,2.4,5.7
2019 Feb,2.2,5.3
2019 Mar,2.0,5.9
2019 Apr,2.1,5.4
2019 May,2.1,5.4
2019 Jun,2.1,5.3
2019 Jul,2.2,5.1
2019 Aug,2.1,5.4
