Player,Round1,Round2
Tiger Woods,70,68
Dustin Johnson,68,70
Brooks Koepka,66,71
Xander Schauffele,73,65
Jason Day,70,67
Tony Finau,71,70
Francesco Molinari,70,67
Webb Simpson,72,71
Patrick Cantlay,73,73
Rickie Fowler,70,71
Jon Rahm,69,70
Justin Harding,69,69
Matt Kuchar,71,69
Ian Poulter,68,71
Justin Thomas,73,68
Bubba Watson,72,72
Aaron Wise,75,71
Patton Kizzire,70,70
Phil Mickelson,67,73
Adam Scott,69,68
Lucas Bjerregaard,70,72
Matthew Fitzpatrick,78,67
Si Woo Kim,72,72
Kevin Kisner,69,73
Rory McIlroy,73,71
Thorbjørn Olesen,71,71
Jordan Spieth,75,68
Kyle Stanley,72,72
Bryson DeChambeau,66,75
Charley Hoffman,71,71
Louis Oosthuizen,71,66
Charles Howell III,73,67
Hideki Matsuyama,75,70
Gary Woodland,70,71
Viktor Hovland,72,71
Rafa Cabrera Bello,73,70
Tommy Fleetwood,71,71
Patrick Reed,73,70
Henrik Stenson,74,72
Kevin Tway,72,71
Jimmy Walker,72,72
Alvaro Ortiz Becerra,73,71
Keegan Bradley,76,68
Haotong Li,72,74
Keith Mitchell,72,74
Corey Conners,70,71
Andrew Landry,72,73
Kevin Na,71,73
Kiradech Aphibarnrat,69,72
Marc Leishman,72,72
Trevor Immelman,74,72
Martin Kaymer,73,74
Eddie Pepperell,74,73
Cameron Smith,70,74
Devon Bling,74,73
Tyrrell Hatton,73,73
Billy Horschel,72,75
Branden Grace,72,75
Zach Johnson,74,73
Takumi Kanaya,73,74
Satoshi Kodaira,75,70
Emiliano Grillo,72,75
J.B. Holmes,70,72
Bernhard Langer,71,72
Alex Noren,75,72
Stewart Cink,76,72
Sergio Garcia,73,75
Sandy Lyle,73,75
Kevin O'Connell,77,71
Justin Rose,75,73
Mike Weir,72,76
Danny Willett,75,73
Fred Couples,78,71
Adam Long,75,74
Charl Schwartzel,77,72
Brandt Snedeker,75,74
Shugo Imahira,76,74
Shane Lowry,78,73
Larry Mize,77,74
Jovan Rebula,73,79
Matt Wallace,75,77
Paul Casey,81,73
Michael Kim,76,78
Vijay Singh,80,76
Ian Woosnam,80,76
Ángel Cabrera,82,75
José María Olazábal,78,79
