State,BRFSS,CompDiff
Alabama,0,26
Alaska,-0.013,23
Arizona,0.001,20
Arkansas,-0.017,3
California,-0.076,42
Colorado,-0.027,34
Connecticut,-0.081,32
Delaware,-0.027,30
Florida,0.004,10
Georgia,-0.021,36
Hawaii,0.011,38
Idaho,-0.014,5
Illinois,-0.072,48
Indiana,-0.078,44
Iowa,-0.041,15
Kansas,-0.044,19
Kentucky,-0.045,24
Louisiana,0.033,8
Maine,-0.006,9
Maryland,-0.066,45
Massachusetts,-0.070,27
Michigan,-0.079,49
Minnesota,-0.031,46
Mississippi,0.001,7
Missouri,-0.064,40
Montana,0.001,4
Nebraska,-0.044,16
Nevada,-0.065,29
New Hampshire,-0.033,43
New Jersey,-0.078,47
New Mexico,-0.029,14
New York,-0.088,50
North Carolina,-0.013,17
North Dakota,-0.030,6
Ohio,-0.070,33
Oklahoma,-0.026,21
Oregon,-0.040,22
Pennsylvania,-0.067,35
Rhode Island,-0.068,12
South Carolina,0.001,18
South Dakota,-0.014,2
Tennessee,0.003,28
Texas,-0.014,25
Utah,-0.026,39
Vermont,-0.017,13
Virginia,-0.033,31
Washington,-0.046,41
West Virginia,-0.044,11
Wisconsin,-0.045,37
Wyoming,-0.046,1
