MinNo,EurNo,MinLav,EurLav
103,15.9,92,21.9
68,18.5,126,18.5
79,15.9,114,22.3
106,18.5,106,21.9
72,18.5,89,18.5
121,21.9,137,24.9
92,15.9,93,18.5
84,15.9,76,22.5
72,15.9,98,21.5
92,15.9,108,21.9
85,15.9,124,21.5
69,18.5,105,18.5
73,18.5,129,25.5
87,18.5,103,18.5
109,20.5,107,18.5
115,18.5,109,21.9
91,18.5,94,18.5
84,15.9,105,18.5
76,15.9,102,24.9
96,15.9,108,21.9
107,18.5,95,25.9
98,18.5,121,21.9
92,15.9,109,18.5
107,18.5,104,18.5
93,15.9,116,22.8
118,18.5,88,18.5
87,15.9,109,21.9
101,25.5,97,20.7
75,12.9,101,21.9
86,15.9,106,22.5
