Treatment,OctocryleneAbsorbed,OxybenzoneAbsorbed
Spray 1,-0.105,4.007
Spray 1,-0.301,3.912
Spray 1,-0.511,3.689
Spray 1,-0.635,3.497
Spray 1,-0.892,3.332
Spray 1,-0.968,2.773
Spray 2,0.916,3.689
Spray 2,0.788,3.296
Spray 2,0.405,2.996
Spray 2,0.000,2.944
Spray 2,-0.288,2.833
Spray 2,-0.598,2.197
Lotion,1.361,4.407
Lotion,0.916,3.526
Lotion,0.833,3.045
Lotion,0.531,2.833
Lotion,0.262,1.609
Lotion,-0.511,1.099
Cream,0.956,
Cream,0.470,
Cream,0.344,
Cream,0.336,
Cream,-0.105,
Cream,-0.261,
,,
