category,topgun
3 or more hours,7288
under 3 hours,5540
under 3 hours,6259
None,9379
under 3 hours,5163
3 or more hours,4010
None,8302
None,5489
3 or more hours,4859
None,5334
under 3 hours,6149
None,4605
under 3 hours,4398
None,4789
3 or more hours,4432
under 3 hours,3968
under 3 hours,7367
None,9185
None,7216
None,9930
3 or more hours,4845
3 or more hours,5394
3 or more hours,2703
None,4828
None,5655
under 3 hours,4217
None,4623
None,7778
under 3 hours,5716
3 or more hours,5797
None,8837
3 or more hours,3758
None,5947
