log(BM),log(MR),Stage,Ind_Stage
-0.56864,0.9078,4,0
-0.21753,1.24695,4,0
0.05881,1.51624,4,0
0.03342,1.42951,4,0
0.29336,1.56236,5,1
0.65562,1.92571,5,1
0.84757,1.83893,5,1
0.97658,2.03313,5,1
-0.52288,0.82484,4,0
-0.14327,1.30859,4,0
0.19089,1.39382,4,0
0.19117,1.5411,5,1
0.50596,1.73693,5,1
0.81737,2.04801,5,1
0.96595,2.12727,5,1
1.0633,2.05023,5,1
-0.61979,0.69132,4,0
-0.23582,1.23873,4,0
0.11628,1.48904,4,0
0.1014,1.48038,4,0
0.36959,1.65689,5,1
0.77931,2.00806,5,1
0.90336,2.06454,5,1
1.04481,2.10356,5,1
-0.63078,0.74347,4,0
-0.18442,1.25986,4,0
0.13735,1.51944,4,0
0.0892,1.47569,5,1
0.37712,1.67941,5,1
0.75481,1.98049,5,1
0.92075,2.09448,5,1
-0.60033,0.71231,4,0
-0.19382,1.07629,4,0
0.11992,1.39651,4,0
0.10037,1.42318,5,1
0.39602,1.68538,5,1
0.76148,2.01129,5,1
0.90336,2.11995,5,1
-0.47496,0.83799,4,0
-0.04287,1.35936,4,0
0.18752,1.34275,4,0
0.30963,1.65927,5,1
0.55194,1.77024,5,1
0.85003,2.1198,5,1
-0.21968,1.10039,4,0
0.09026,1.36615,4,0
0.38435,1.69125,5,1
0.68592,1.88797,5,1
0.89209,1.98556,5,1
1.00212,1.89736,5,1
-0.36552,1.04788,4,0
-0.10902,1.18032,4,0
0.06446,1.06529,4,0
0.43329,1.7159,5,1
0.71214,1.91493,5,1
0.90913,1.93422,5,1
-0.40894,0.94988,4,0
-0.03152,1.21961,4,0
0.27485,1.58217,5,1
0.6169,1.95382,5,1
0.82718,2.07377,5,1
0.93732,1.92059,5,1
-0.54516,0.89851,4,0
-0.1986,1.05829,4,0
0.08493,1.44756,4,0
0.4456,1.71427,5,1
0.72132,1.81961,5,1
0.90998,1.94879,5,1
-0.30103,1.03191,4,0
0.04922,1.24911,4,0
0.41581,1.78457,5,1
0.70148,2.00323,5,1
0.9208,2.03803,5,1
-0.43533,0.98288,4,0
-0.07109,1.14675,4,0
0.09968,1.37818,4,0
0.45984,1.83981,5,1
0.73902,2.023,5,1
0.90097,2.03284,5,1
1.01089,1.97604,5,1
-0.33536,0.9787,4,0
-0.06048,1.18962,4,0
0.18469,1.2495,4,0
0.52414,1.80685,5,1
0.78569,1.95271,5,1
0.94743,2.19894,5,1
1.0569,2.08327,5,1
-0.42829,0.8468,4,0
-0.14874,1.01459,4,0
0.10687,1.35838,5,1
0.44731,1.69626,5,1
0.57229,1.74004,5,1
0.76997,1.76678,5,1
-0.37779,1.03658,4,0
-0.05552,1.30753,4,0
0.15866,1.43455,4,0
0.40739,1.82758,5,1
0.71231,1.99819,5,1
0.88981,2.11714,5,1
1.03003,1.93063,5,1
-0.68825,0.71169,4,0
-0.41005,0.87865,4,0
-0.21538,1.04919,4,0
-0.22185,1.12802,4,0
0.13672,1.47051,4,0
0.39445,1.28619,4,0
0.54531,1.69949,5,1
0.76893,1.95818,5,1
0.94245,1.90227,5,1
-0.36251,0.91327,4,0
-0.04479,1.18973,4,0
0.16435,1.09749,4,0
0.53983,1.81279,5,1
0.82937,2.09114,5,1
0.97763,2.03052,5,1
1.07522,2.05089,5,1
-0.64397,0.61776,4,0
-0.31336,0.9364,4,0
-0.06298,1.25954,4,0
0.13098,1.13571,4,0
0.54307,1.77603,5,1
0.78319,2.00175,5,1
0.93237,2.17409,5,1
1.03302,1.89552,5,1
-0.39147,0.97417,4,0
-0.12843,1.11447,4,0
0.02366,1.19857,4,0
0.38863,1.70343,5,1
0.65379,1.90061,5,1
0.85637,2.05763,5,1
0.96303,1.91485,5,1
-0.41229,1.00074,4,0
-0.06803,1.27909,4,0
0.1878,1.27183,5,1
0.40705,1.54133,5,1
0.7336,1.97813,5,1
0.92614,2.09596,5,1
1.04025,1.88628,5,1
-0.32331,1.14429,4,0
0.04805,1.28347,4,0
0.276,1.29499,4,0
0.64444,1.92515,5,1
0.89109,1.96849,5,1
1.05007,2.08348,5,1
-0.42946,1.01181,4,0
0.06221,1.32984,4,0
0.43281,1.65064,5,1
0.73352,1.87,5,1
0.91714,1.82364,5,1
-0.20204,1.228,4,0
0.18977,1.41085,4,0
0.58726,1.80889,5,1
0.86499,2.03133,5,1
1.05687,2.09467,5,1
-0.25571,1.24916,4,0
0.13609,1.28501,4,0
0.09691,1.26528,5,1
0.54133,1.88475,5,1
0.61815,1.77855,5,1
0.86806,1.96253,5,1
0.98878,1.94382,5,1
-0.41229,1.04449,4,0
-0.01368,1.25388,4,0
0.22063,1.25471,4,0
0.53403,1.70001,5,1
0.82341,1.94157,5,1
1.02494,2.07426,5,1
-0.16115,1.19067,4,0
0.1959,1.35171,4,0
0.54133,1.76122,5,1
0.85866,2.00095,5,1
1.04123,2.2324,5,1
-0.42366,0.86051,4,0
-0.07988,1.16255,4,0
0.07188,1.11958,4,0
0.39252,1.65984,5,1
0.69417,1.9217,5,1
0.90784,1.95537,5,1
-0.77211,0.46355,4,0
-0.27901,0.98989,4,0
-0.01323,1.18134,4,0
0.28556,1.56044,5,1
0.64365,1.80501,5,1
0.84048,1.95577,5,1
0.96454,2.03037,5,1
-0.28233,1.11902,4,0
0.10243,1.30632,4,0
0.25696,1.46466,5,1
0.57008,1.85908,5,1
0.75059,2.03772,5,1
0.94335,2.02455,5,1
-0.51145,0.83762,4,0
-0.09044,1.07908,4,0
0.23096,1.18648,4,0
0.55582,1.7459,5,1
0.8739,1.97394,5,1
1.05782,2.08198,5,1
-0.72816,0.58392,4,0
-0.29328,1.018,4,0
0.09026,1.28218,4,0
0.43996,1.70968,5,1
0.76462,1.85756,5,1
0.90886,2.14139,5,1
-0.27246,1.13306,4,0
0.14395,1.31847,4,0
0.35984,1.55106,5,1
0.70018,1.99851,5,1
0.91551,2.18018,5,1
1.05138,2.00101,5,1
