Seconds,Count,logCount
20,4611,8.436200032
30,3727,8.223358899
40,3071,8.02975852
50,2587,7.858254182
60,2141,7.669028289
70,1816,7.504391559
80,1577,7.363279587
90,1421,7.259116128
100,1244,7.126087273
110,1167,7.062191632
120,992,6.899723107
130,927,6.831953566
140,833,6.725033642
150,811,6.698268054
160,767,6.642486801
170,658,6.489204931
180,656,6.486160789
190,651,6.478509642
200,582,6.366470448
210,530,6.272877007
220,516,6.246106765
230,483,6.180016654
240,500,6.214608098
250,508,6.230481448
260,478,6.169610732
270,425,6.052089169
280,441,6.089044875
290,388,5.96100534
300,382,5.945420609
310,365,5.899897354
320,349,5.855071922
330,288,5.66296048
340,331,5.802118375
350,298,5.697093487
360,274,5.613128106
370,289,5.666426688
380,253,5.533389489
390,235,5.459585514
400,220,5.393627546
410,216,5.375278408
420,219,5.38907173
430,200,5.298317367
440,170,5.135798437
450,185,5.220355825
460,174,5.159055299
470,163,5.093750201
480,178,5.18178355
490,144,4.9698133
500,147,4.990432587
510,154,5.036952602
520,138,4.927253685
530,140,4.941642423
540,121,4.795790546
550,134,4.8978398
560,105,4.65396035
570,108,4.682131227
580,83,4.418840608
590,104,4.644390899
600,95,4.553876892
610,68,4.219507705
620,85,4.442651256
630,83,4.418840608
640,86,4.454347296
650,71,4.262679877
660,77,4.343805422
670,64,4.158883083
680,58,4.060443011
690,48,3.871201011
700,58,4.060443011
710,57,4.043051268
720,55,4.007333185
730,50,3.912023005
740,54,3.988984047
750,53,3.970291914
760,38,3.63758616
770,35,3.555348061
780,38,3.63758616
790,28,3.33220451
800,34,3.526360525
810,34,3.526360525
820,32,3.465735903
830,30,3.401197382
840,21,3.044522438
850,33,3.496507561
860,19,2.944438979
870,25,3.218875825
880,30,3.401197382
890,22,3.091042453
900,23,3.135494216
910,28,3.33220451
920,28,3.33220451
930,28,3.33220451
940,19,2.944438979
950,13,2.564949357
960,24,3.17805383
970,15,2.708050201
980,13,2.564949357
990,21,3.044522438
1000,23,3.135494216
1010,16,2.772588722
1020,17,2.833213344
1030,19,2.944438979
1040,14,2.63905733
1050,18,2.890371758
1060,10,2.302585093
1070,13,2.564949357
1080,10,2.302585093
1090,11,2.397895273
1100,21,3.044522438
1110,10,2.302585093
1120,10,2.302585093
1130,12,2.48490665
1140,12,2.48490665
1150,11,2.397895273
1160,8,2.079441542
1170,12,2.48490665
1180,13,2.564949357
1190,11,2.397895273
1200,14,2.63905733
1210,11,2.397895273
1220,10,2.302585093
1230,12,2.48490665
1240,8,2.079441542
1250,11,2.397895273
