Year,TuitionAndFees
1970,1069
1971,
1972,1372
1973,1447
1974,1569
1975,1619
1976,1819
1977,1939
1978,2024
1979,2159
1980,2402
1981,2646
1982,3276
1983,3766
1984,4336
1985,4886
1986,5468
1987,5796
1988,6336
1989,7088
1990,8136
1991,9564
1992,10826
1993,12254
1994,13052
1995,14006
1996,14434
1997,15030
1998,15814
1999,16603
2000,17409
2001,18268
2002,19805
2003,21984
2004,22700
2005,24100
2006,25945
2007,27750
2008,29600
2009,31672
2010,33574
2011,36570
2012,38018
2013,40205
2014,42494
2015,44350
2016,45744
2017,47261
2018,49020
2019,50899
