ID,Amount,Recency,Freq12,Dollar12,Freq24,Dollar24,Card,Int12,Int24,IntCard12,Dollar12sq,Dollar24sq
1,0,22,0,0,3,400,0,0,1200,0,0,160000
2,0,30,0,0,0,0,0,0,0,0,0,0
3,0,24,0,0,1,250,0,0,250,0,0,62500
4,30,6,3,140,4,225,0,420,900,0,19600,50625
5,33,12,1,50,1,50,0,50,50,0,2500,2500
6,35,48,0,0,0,0,0,0,0,0,0,0
7,35,5,5,450,6,415,0,2250,2490,0,202500,172225
8,39,2,5,245,12,661,1,1225,7932,245,60025,436921
9,40,24,0,0,1,225,0,0,225,0,0,50625
10,45,3,6,403,8,1138,0,2418,9104,0,162409,1295044
11,48,6,3,155,4,262,0,465,1048,0,24025,68644
12,50,12,1,42,7,290,0,42,2030,0,1764,84100
13,50,5,2,100,8,700,1,200,5600,100,10000,490000
14,50,8,3,144,4,202,0,432,808,0,20736,40804
15,50,1,10,562,13,595,1,5620,7735,562,315844,354025
16,50,2,3,166,4,308,0,498,1232,0,27556,94864
17,50,4,4,228,4,228,0,912,912,0,51984,51984
18,50,5,5,322,7,717,1,1610,5019,322,103684,514089
19,55,13,0,0,6,1050,0,0,6300,0,0,1102500
20,55,6,3,244,7,811,0,732,5677,0,59536,657721
21,57,20,0,0,2,140,0,0,280,0,0,19600
22,58,3,4,200,4,818,1,800,3272,200,40000,669124
23,60,12,1,70,2,150,0,70,300,0,4900,22500
24,60,3,4,256,7,468,0,1024,3276,0,65536,219024
25,62,12,1,65,5,255,0,65,1275,0,4225,65025
26,64,8,1,70,6,300,0,70,1800,0,4900,90000
27,65,2,6,471,8,607,0,2826,4856,0,221841,368449
28,68,6,2,110,3,150,0,220,450,0,12100,22500
29,70,3,3,222,5,305,0,666,1525,0,49284,93025
30,70,6,2,120,4,230,0,240,920,0,14400,52900
31,70,5,3,205,8,455,1,615,3640,205,42025,207025
32,72,7,4,445,6,400,0,1780,2400,0,198025,160000
33,75,6,1,77,2,168,0,77,336,0,5929,28224
34,75,4,2,166,5,404,0,332,2020,0,27556,163216
35,75,4,3,210,4,270,0,630,1080,0,44100,72900
36,78,8,2,180,7,555,1,360,3885,180,32400,308025
37,78,5,3,245,9,602,1,735,5418,245,60025,362404
38,79,4,3,225,5,350,0,675,1750,0,50625,122500
39,80,3,4,300,6,499,0,1200,2994,0,90000,249001
40,90,3,5,400,9,723,0,2000,6507,0,160000,522729
41,95,1,6,650,9,1006,1,3900,9054,650,422500,1012036
42,98,6,2,215,3,333,0,430,999,0,46225,110889
43,100,12,1,100,2,200,0,100,400,0,10000,40000
44,100,2,1,110,4,400,1,110,1600,110,12100,160000
45,100,3,3,217,6,605,0,651,3630,0,47089,366025
46,100,3,4,330,8,660,1,1320,5280,330,108900,435600
47,105,2,4,400,7,560,0,1600,3920,0,160000,313600
48,110,3,4,420,6,570,0,1680,3420,0,176400,324900
49,125,3,2,270,5,590,1,540,2950,270,72900,348100
50,140,6,3,405,6,775,0,1215,4650,0,164025,600625
51,160,2,2,411,8,706,0,822,5648,0,168921,498436
52,180,1,5,744,10,945,1,3720,9450,744,553536,893025
53,200,1,3,558,4,755,1,1674,3020,558,311364,570025
54,240,4,4,815,10,1150,1,3260,11500,815,664225,1322500
55,250,3,3,782,10,1500,1,2346,15000,782,611524,2250000
56,300,12,1,250,4,401,0,250,1604,0,62500,160801
57,340,1,5,1084,7,1162,1,5420,8134,1084,1175056,1350244
58,500,4,2,777,3,905,1,1554,2715,777,603729,819025
59,650,1,4,1493,7,2050,1,5972,14350,1493,2229049,4202500
60,1506000,1,6,5000,11,8000,1,30000,88000,5000,25000000,64000000
