Animal,Sex,Housing,Time
1,M,Isolated,16
2,M,Isolated,11
3,M,Isolated,17
4,M,Isolated,9
5,M,Isolated,29
6,M,Isolated,34
7,M,Isolated,35
8,M,Isolated,52
9,M,Isolated,26
10,M,Isolated,28
11,M,Isolated,14
12,M,Isolated,95
13,F,Isolated,3
14,F,Isolated,22
15,F,Isolated,65
16,F,Isolated,51
17,F,Isolated,40
18,F,Isolated,44
19,F,Isolated,15
20,F,Isolated,66
21,F,Isolated,120
22,F,Isolated,81
23,F,Isolated,69
24,F,Isolated,127
25,M,Group,9
26,M,Group,16
27,M,Group,22
28,M,Group,27
29,M,Group,17
30,M,Group,80
31,M,Group,40
32,M,Group,15
33,M,Group,37
34,M,Group,78
35,M,Group,34
36,M,Group,48
37,F,Group,47
38,F,Group,82
39,F,Group,117
40,F,Group,92
41,F,Group,47
42,F,Group,121
43,F,Group,33
44,F,Group,32
45,F,Group,46
46,F,Group,73
47,F,Group,69
48,F,Group,60
