Animal,Sex,Housing,Count
1,M,Isolated,10
2,M,Isolated,8
3,M,Isolated,8
4,M,Isolated,14
5,M,Isolated,14
6,M,Isolated,29
7,M,Isolated,20
8,M,Isolated,29
9,M,Isolated,21
10,M,Isolated,27
11,M,Isolated,17
12,M,Isolated,7
13,F,Isolated,45
14,F,Isolated,17
15,F,Isolated,36
16,F,Isolated,30
17,F,Isolated,44
18,F,Isolated,35
19,F,Isolated,11
20,F,Isolated,40
21,F,Isolated,67
22,F,Isolated,17
23,F,Isolated,30
24,F,Isolated,57
25,M,Group,8
26,M,Group,15
27,M,Group,32
28,M,Group,18
29,M,Group,9
30,M,Group,49
31,M,Group,25
32,M,Group,16
33,M,Group,19
34,M,Group,45
35,M,Group,33
36,M,Group,34
37,F,Group,25
38,F,Group,53
39,F,Group,75
40,F,Group,36
41,F,Group,32
42,F,Group,52
43,F,Group,9
44,F,Group,26
45,F,Group,34
46,F,Group,26
47,F,Group,44
48,F,Group,47
