Animal,Sex,Housing,Time
1,M,Isolated,29
2,M,Isolated,34
3,M,Isolated,35
4,M,Isolated,20
5,M,Isolated,34
6,M,Isolated,24
7,M,Isolated,26
8,M,Isolated,36
9,M,Isolated,74
10,M,Isolated,9
11,M,Isolated,49
12,M,Isolated,57
13,F,Isolated,37
14,F,Isolated,8
15,F,Isolated,30
16,F,Isolated,49
17,F,Isolated,15
18,F,Isolated,69
19,F,Isolated,36
20,F,Isolated,36
21,F,Isolated,38
22,F,Isolated,44
23,F,Isolated,51
24,F,Isolated,59
25,M,Group,123
26,M,Group,121
27,M,Group,109
28,M,Group,126
29,M,Group,38
30,M,Group,55
31,M,Group,3
32,M,Group,78
33,M,Group,73
34,M,Group,70
35,M,Group,39
36,M,Group,113
37,F,Group,94
38,F,Group,10
39,F,Group,149
40,F,Group,54
41,F,Group,78
42,F,Group,72
43,F,Group,80
44,F,Group,101
45,F,Group,69
46,F,Group,46
47,F,Group,13
48,F,Group,26
