Rate,Hybrid,Percent
0,NonResistant,0
0,NonResistant,0
0,NonResistant,0
0,NonResistant,0
0.1,NonResistant,30
0.1,NonResistant,30
0.1,NonResistant,20
0.1,NonResistant,30
0.2,NonResistant,40
0.2,NonResistant,20
0.2,NonResistant,20
0.2,NonResistant,20
0.36,NonResistant,60
0.36,NonResistant,30
0.36,NonResistant,20
0.36,NonResistant,30
0.8,NonResistant,60
0.8,NonResistant,50
0.8,NonResistant,40
0.8,NonResistant,30
1.44,NonResistant,99
1.44,NonResistant,90
1.44,NonResistant,95
1.44,NonResistant,95
0,Resistant1,0
0,Resistant1,0
0,Resistant1,0
0,Resistant1,0
0.1,Resistant1,0
0.1,Resistant1,0
0.1,Resistant1,0
0.1,Resistant1,0
0.2,Resistant1,0
0.2,Resistant1,0
0.2,Resistant1,0
0.2,Resistant1,0
0.36,Resistant1,0
0.36,Resistant1,0
0.36,Resistant1,0
0.36,Resistant1,0
0.8,Resistant1,0
0.8,Resistant1,0
0.8,Resistant1,0
0.8,Resistant1,0
1.44,Resistant1,0
1.44,Resistant1,0
1.44,Resistant1,0
1.44,Resistant1,20
0,Resistant2,0
0,Resistant2,0
0,Resistant2,0
0,Resistant2,0
0.1,Resistant2,10
0.1,Resistant2,0
0.1,Resistant2,0
0.1,Resistant2,0
0.2,Resistant2,0
0.2,Resistant2,20
0.2,Resistant2,30
0.2,Resistant2,20
0.36,Resistant2,20
0.36,Resistant2,30
0.36,Resistant2,40
0.36,Resistant2,30
0.8,Resistant2,20
0.8,Resistant2,30
0.8,Resistant2,30
0.8,Resistant2,20
1.44,Resistant2,50
1.44,Resistant2,40
1.44,Resistant2,20
1.44,Resistant2,30
