Group,Nitr,Phos,New,Dead,Change
C,0,0,11,11,0
C,0,0,13,7,6
C,0,0,16,9,7
C,0,0,15,19,-4
C,0,0,15,10,5
C,0,0,11,13,-2
C,0,0,12,8,4
C,0,0,13,11,2
N,1,0,15,13,2
N,1,0,14,11,3
N,1,0,15,9,6
N,1,0,16,8,8
N,1,0,17,7,10
N,1,0,18,17,1
N,1,0,17,12,5
N,1,0,13,9,4
P,0,1,14,8,6
P,0,1,14,8,6
P,0,1,14,10,4
P,0,1,11,7,4
P,0,1,13,7,6
P,0,1,12,9,3
P,0,1,15,11,4
P,0,1,15,10,5
NP,1,1,14,11,3
NP,1,1,16,10,6
NP,1,1,15,6,9
NP,1,1,14,7,7
NP,1,1,14,11,3
NP,1,1,13,9,4
NP,1,1,17,7,10
NP,1,1,14,5,9
