Sample,Loss1,Loss2,Loss3,Loss4,Loss5,Loss6,Loss7,Loss8,Mean,StDev
1,7994,6005,8049,7565,8011,6988,6204,9677,7561.63,1176.95
2,7574,6650,7962,8295,7396,6970,4707,7205,7094.88,1098.05
3,6382,5363,8726,7485,7469,8573,6519,6086,7075.38,1194.73
4,5714,8353,7765,8774,9232,8103,7271,7132,7793,1100.34
5,7231,9282,7600,8964,6007,7944,8117,7730,7859.38,1016.14
6,8688,6548,7644,6898,8324,6261,7983,7900,7530.75,870.19
7,7909,8210,6965,4913,7967,7491,8362,7628,7430.63,1107.72
8,7223,7481,7516,8283,5470,5415,7290,8850,7191,1210.74
9,7534,7892,6841,7293,6949,8439,7424,7955,7540.88,536.75
10,8312,6166,6955,6777,7178,8598,8266,8210,7557.75,896.99
11,8617,8542,5675,6685,7424,7717,6004,7828,7311.5,1098.21
12,5901,7698,7649,6645,9018,8504,7022,6875,7414,1015.7
13,8073,7122,6633,6521,6928,6444,6576,8872,7146.13,874.89
14,7165,8312,8343,8033,8632,7983,7311,6160,7742.38,814.37
15,8640,6593,7908,7388,6435,7390,6898,6547,7224.88,766.5
